string,,,,,,,,,,,,,,,,,,,,,,,,,Can Target,300,,1,,,,,,,,,,,,string,string,,Unused,Collision On/Off,Bone Index,Box X Scale,Box Y Scale,Box Z Scale,Ignore Database Data,Dialog Mob,Event Id,Invincible,Seasonal Event,Stun Immune,Swap,Pet Scale,Pet Y,Pet Height,Damage Limit,Servertype,Hide Armory,Expire Damage,Stat Tracker,AB Adjust,AX,AY,AZ,BX,BY,BZ,AB Hit,Block AOE Damage,Clan Stat Tracker,Whitelist
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,0,,233,,219,,1401,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krawfy Warrior,lobster1.mon,200,450,145,,,68,46,302,199,215,82,71,125,,263,24,155,17,35,,,,,,240,4,0,49,233,,219,402,1401,234,,,,,LNPC0122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonga Hunter,gorilla4.mon,230,510,145,1044,,70,37,283,194,192,102,114,105,,264,25,175,18,36,,,,,,2000,6,0,52,245,,,,1401,246,,,,,LNPC0156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krawfy Captain,lobster2.mon,240,530,160,,,74,67,320,212,242,159,91,120,,263,45,156,20,39,,,,,,250,9,0,57,233,,219,403,1401,234,,,,,LNPC0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonga Captain,gorilla3.mon,220,530,180,137,5,76,67,330,217,249,164,93,125,,262,46,177,24,40,,,,,,300,9,0,46,245,,,,1401,246,,,,,LNPC0158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini-Porkie,pig1.mon,180,500,80,,,19,25,46,80,61,35,37,105,,4,13,157,20,62,,,,,,180,1,1,22,237,,,401,1401,238,,11,,,LNPC0131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porkie,pig1.mon,180,480,105,,,33,26,83,101,95,60,54,95,,3,14,158,25,62,,,,,,200,1,1,22,237,,,402,1401,238,,12,,,LNPC0132,911-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porkie Hooligan,pig1.mon,185,420,120,,,35,26,95,121,110,45,37,120,,5,14,159,25,63,,,,,,210,4,1,22,237,,,403,1401,238,,12,,,LNPC0133,911-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunter,pigwarrier1.mon,190,500,110,133,,42,33,136,126,159,89,33,90,,114,16,160,25,65,,,,,,300,2,0,21,237,,,403,1401,238,,12,,,LNPC0134,3403-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunter Fighter,pigwarrier1.mon,180,460,120,134,,44,30,165,111,108,86,68,105,,115,17,161,25,65,,,,,,300,3,0,21,237,,,403,1401,238,,12,,,LNPC0135,3603-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunter Warrior,pigwarrier1.mon,180,450,130,1021,,45,27,180,139,140,61,46,120,,25,16,162,30,65,,,,,,300,4,0,21,237,,,403,1401,238,,12,,,LNPC0136,3005-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,300,,0,,237,,,,1401,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunter Leader,captain_pig1.mon,220,480,140,1021,,53,36,212,150,162,79,86,115,,115,30,163,35,70,,,,,,300,8,0,20,237,,,,1401,238,,12,,,LNPC0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunter Captain,captain_pig1.mon,230,520,160,135,,55,45,232,158,176,114,67,100,,114,37,164,35,75,,,,,,300,9,0,20,237,,,,1401,238,,12,,,LNPC0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,300,,1,,,,,,1401,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman,alligator1.mon,220,540,140,103,,59,29,217,145,171,116,89,100,,3,23,165,16,48,,,,,,250,1,1,50,241,,,,1401,242,,13,,,LNPC0141,QB_Junon_JC_Drop_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman Guard,alligator1.mon,240,600,155,104,,60,35,201,159,224,133,48,90,,4,23,166,16,49,,,,,,260,2,0,50,241,,,,1401,242,,13,,,LNPC0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman Warrior,alligator1.mon,220,480,170,105,,64,30,264,175,201,94,66,115,,109,23,167,20,52,,,,,,280,4,0,50,241,,,,1401,242,,13,,,LNPC0143,131-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman Ranger,alligator2.mon,220,550,152,1045,,61,28,210,144,133,139,115,105,,11,24,168,16,53,,,,,,2400,5,1,80,241,,,,1401,242,,13,,,LNPC0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman Hunter,alligator2.mon,210,470,170,1045,,63,24,241,169,170,93,103,85,,14,21,169,20,55,,,,,,2000,6,0,80,241,,,,1401,242,,13,,,LNPC0145,Arua_APs_Hotch_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,1,39,241,,,,1401,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,1,39,241,,,,1401,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,1,39,241,,,,1401,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,1,39,241,,,,1401,242,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonga,gorilla1.mon,200,550,140,,,56,35,186,151,209,123,45,90,,3,22,170,10,50,,,,,,190,2,1,39,245,,,,1401,246,,13,,,LNPC0151,3006-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Doonga,gorilla1.mon,220,460,165,1013,,58,32,223,134,145,118,87,100,,23,22,171,12,52,,,,,,250,3,1,39,245,,,,1401,246,,13,,,LNPC0152,3406-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonga Origin,gorilla5.mon,230,560,170,,,68,30,254,161,200,138,102,95,,21,26,172,12,45,,,,,,220,1,0,63,245,,,,1401,246,,13,,,LNPC0153,134-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonga Fighter,gorilla2.mon,220,560,130,1002,,62,32,240,140,156,127,93,100,,111,23,173,15,52,,,,,,240,3,0,52,245,,,,1401,246,,13,,,LNPC0154,5013-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonga Warrior,gorilla2.mon,200,500,145,1004,303,64,30,264,175,201,94,66,120,,113,22,174,15,54,,,,,,250,4,0,52,245,,,,1401,246,,13,,,LNPC0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonga Hunter,gorilla4.mon,230,510,140,1044,,62,24,237,167,167,91,101,85,,29,22,175,18,52,,,,,,2000,6,0,52,245,,,,1401,246,,13,,,LNPC0156,5013-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonga Leader,gorilla3.mon,250,580,155,1021,,70,37,287,183,218,110,111,110,,112,34,176,23,60,,,,,,290,8,0,46,245,,,,1401,246,,13,,,LNPC0157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonga Captain,gorilla3.mon,220,530,180,137,5,72,48,311,191,235,154,88,100,,113,42,177,24,65,,,,,,300,9,0,46,245,,,,1401,246,,13,,,LNPC0158,151-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master Doonga,gorilla5.mon,260,570,250,,,60,175,286,196,227,161,73,90,,60,260,178,20,72,,,,,,260,10,1,39,245,,,,1401,246,,15,,,LNPC0159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,0,,,,,,1401,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewel Golem,stony1.mon,250,550,200,,,47,74,208,164,168,102,57,90,,9,75,179,1,70,,,,,,220,10,2,38,,,251,445,1401,250,,15,,,LNPC0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junons Golem,stony1.mon,290,630,260,,,73,79,334,221,262,167,89,90,,63,86,180,1,72,,,,,,230,10,2,38,,,251,445,1401,250,,15,,,LNPC0162,QB_Junon_SB_Drop_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master Golem,stony2.mon,320,690,310,,,84,181,383,260,266,216,133,85,,64,240,181,1,70,,,,,,250,10,2,84,,,251,445,1401,250,,15,,,LNPC0163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Golem,stonegollem.mon,200,450,160,,,74,37,254,186,279,170,61,90,,62,25,182,1,45,,,,,,190,2,2,61,,,251,447,1401,250,,13,,,LNPC0164,1059-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Stone Golem,stonegollem.mon,220,490,185,,,76,34,300,165,197,163,114,105,,62,27,183,1,48,,,,,,220,3,2,61,,,251,447,1401,250,,13,,,LNPC0165,Arua_APs_Med_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master Stone Golem,stonegollem2.mon,220,490,200,,,80,178,380,237,307,223,99,100,,66,235,184,1,65,,,,,,250,10,2,62,,,251,447,1401,250,,13,,,LNPC0166,153-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,2,38,,,251,,1401,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,2,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandmaster Golem,stony2.mon,350,750,380,,,90,220,429,260,350,256,112,100,,65,425,185,1,83,,,,,,250,10,2,84,,,251,445,1401,250,,15,,,LNPC0169,157-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,2,,,,,,1401,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Guard,fishman1.mon,180,480,110,1035,,30,32,95,105,120,64,24,90,,111,15,186,10,61,,,,,,350,2,0,55,253,,,,1401,254,,12,,,LNPC0171,Arua_APs_Shroon_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Warrior,fishman1.mon,220,430,125,164,,31,26,122,114,99,39,33,110,,112,32,187,12,63,,,,,,360,4,0,55,253,,,,1401,254,,12,,,LNPC0172,QB_Zant_AS_A_Proxy_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Captain,fishman2.mon,210,460,145,165,,34,44,140,119,112,70,43,95,,113,32,188,15,70,,,,,,380,9,0,75,253,,,,1401,254,,12,,,LNPC0173,859-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,0,75,253,,,,1401,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Ranger,fishman3.mon,240,530,112,1043,,32,24,104,96,66,70,68,95,,26,16,189,12,62,,,,,,2200,5,0,75,253,,,,1401,254,,12,,,LNPC0175,858-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Hunter,fishman3.mon,210,470,125,1043,,33,21,126,121,86,40,60,82,,28,15,190,15,65,,,,,,2000,6,0,75,253,,,,1401,254,,12,,,LNPC0176,858-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Hunter,fishman3.mon,210,470,135,1043,,36,32,138,127,94,45,64,110,,264,16,190,15,32,,,,,,2000,6,0,75,253,,,,1401,254,,,,,LNPC0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Captain,fishman2.mon,210,460,155,165,,40,66,166,142,129,82,49,120,,262,18,188,15,38,,,,,,380,9,0,75,253,,,,1401,254,,,,,LNPC0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal Mine Moldie,mole1.mon,200,450,120,,,42,49,142,133,159,89,33,105,,267,22,152,25,32,,,,,,250,2,1,13,225,,,402,1401,226,,,,,LNPC0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Moldie,mole2.mon,200,500,140,1016,,45,66,188,152,144,92,55,120,,262,36,153,30,39,,,,,,260,9,1,82,225,,,403,1401,226,,,,,LNPC0114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Clown,smallgoblin1.mon,180,580,95,,,47,28,131,142,146,64,48,115,,22,17,191,20,53,,,,,,160,4,1,57,257,,,401,1401,258,,13,,,LNPC0181,5012-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clown,smallgoblin1.mon,165,530,110,,,49,28,126,127,140,93,75,95,,21,16,192,23,55,,,,,,160,1,1,57,257,,,402,1401,258,,13,,,LNPC0182,5012-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fighter Clown,smallgoblin2.mon,170,450,115,1015,,52,31,137,124,128,104,79,100,,23,16,193,28,56,,,,,,230,3,1,81,257,,,403,1401,258,,13,,,LNPC0183,5012-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebellious Clown Leader,smallgoblin3.mon,210,670,315,689,,59,195,255,210,130,110,105,110,,27,60,215,50,90,,,,,,2900,10,1,81,257,,,403,1401,258,,13,,,LNPC0184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranger Clown,smallgoblin3.mon,175,550,95,203,,48,26,161,122,101,106,93,102,,27,22,194,22,53,,,,,,2500,5,1,81,257,,,403,1401,258,,13,,,LNPC0185,5012-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Clown,smallgoblin3.mon,170,450,110,1042,,50,23,187,144,131,70,83,85,,29,16,195,25,55,,,,,,2100,6,1,81,257,,,403,1401,258,,13,,,LNPC0186,5012-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunter Warrior,pigwarrier1.mon,180,450,135,1021,,53,43,230,168,165,59,55,135,,262,23,162,30,34,,,,,,300,4,0,21,237,,,403,1401,238,,,,,LNPC0136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Smouly,smallree2.mon,240,338,140,1075,,56,54,225,159,172,84,90,120,1,264,26,123,15,35,,,,,,1600,8,1,88,,,,,1401,198,,,,,LNPC0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Clown,smallgoblin3.mon,170,450,125,1042,,59,36,234,171,158,82,97,100,,264,22,195,25,38,,,,,,2100,6,1,81,257,,,403,1401,258,,,,,LNPC0186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunter Captain,captain_pig1.mon,230,520,165,135,,62,69,264,186,200,130,75,120,,262,43,164,35,40,,,,,,300,9,0,20,237,,,,1401,238,,,,,LNPC0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Stone Golem,stonegollem.mon,220,490,185,,,82,52,342,176,216,179,129,110,,268,61,183,1,38,,,,,,220,3,2,61,,,251,447,1401,250,,,,,LNPC0165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junons Golem,stony1.mon,290,630,260,,,84,122,390,246,306,197,104,100,,266,172,180,1,40,,,,,,230,10,2,38,,,251,445,1401,250,,,,,LNPC0162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master Stone Golem,stonegollem2.mon,220,490,220,,,87,123,406,253,318,205,108,115,,268,172,184,1,42,,,,,,250,10,2,62,,,251,447,1401,250,,,,,LNPC0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin Guard,goblin_b1.mon,225,640,160,40,3,93,59,345,236,359,226,80,105,,262,66,256,15,37,,,,,,250,2,0,73,265,,,401,1401,266,,,,,LNPC0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin Mage,goblin_m1.mon,200,510,140,337,,95,41,371,213,223,346,143,110,1,265,64,261,12,38,,,,,,1400,7,1,64,265,,,,1401,266,,,,,LNPC0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin Leader,goblin_b2.mon,240,650,190,169,,97,62,415,245,316,167,154,130,,262,88,263,15,42,,,,,,350,8,0,73,265,,,,1401,266,,,,,LNPC0284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worm Dragon,wormdragon1.mon,300,450,430,1084,,88,195,419,256,341,249,110,85,1,51,516,196,1,85,,,,,,900,10,1,45,269,,,,1401,270,,15,,,LNPC0201,156-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little WormGon,wormdragon1.mon,230,400,180,1084,,78,32,329,204,251,121,82,95,1,52,50,197,1,60,,,,,,1200,4,1,45,269,,,,1401,270,,18,,,LNPC0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelly King,jellybean2.mon,200,360,170,,,13,49,44,84,57,34,21,90,,54,43,198,1,60,,,,,,230,9,1,48,,,,,1401,182,,15,,,LNPC0203,952-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wandering Rackie,raccoon1.mon,160,540,105,1011,,20,34,57,94,71,28,42,90,,8,33,199,25,60,,,,,,250,8,1,14,221,,,,1401,222,,15,,,LNPC0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie King,wolf3.mon,230,550,170,1003,302,25,74,110,121,99,56,33,85,,55,130,200,20,70,,,,,,250,10,1,86,229,,,,1401,230,,15,,,LNPC0205,113-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Gorilla,gorilla1.mon,200,550,180,1067,,43,35,169,131,132,62,72,90,,8,49,201,1,60,,,,,,200,8,1,39,245,,,,1401,246,,15,,,LNPC0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua King,fishman2.mon,290,630,220,167,,40,160,197,150,155,106,49,105,,56,527,202,15,80,,,,,,350,10,0,75,253,,,,1401,254,,15,,,LNPC0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian Tree,smallree2.mon,240,360,340,1075,,57,172,272,185,216,153,69,90,1,57,424,203,1,75,,,,,,1500,10,1,88,,,,,1401,198,,15,,,LNPC0208,128-31,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunter King,captain_pig1.mon,300,650,300,138,,60,175,286,192,227,161,73,95,,59,539,204,20,82,,,,,,350,10,0,20,237,,,,1401,238,,15,,,LNPC0209,131-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarab,stagbeetle1.mon,300,500,50,,,35,15,138,121,110,45,37,130,,58,33,205,1,20,,,,,,130,4,2,16,217,,219,,1401,218,,18,,,LNPC0210,Arua_APs_Kay_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doongoliath,gorilla5.mon,340,730,360,,,70,182,333,214,266,191,86,90,,60,578,206,1,80,,,,,,250,10,1,63,245,,,,1401,246,,15,,,LNPC0211,1062-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krawfy King,lobster2.mon,330,710,300,,,75,186,356,225,286,207,92,95,,61,598,207,15,82,,,,,,250,10,0,57,233,,,,1401,234,,15,,,LNPC0212,1055-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Giant,fishman2.mon,300,630,310,167,,48,83,263,126,206,137,73,105,,318,878,226,,60,,,,,,350,11,0,0,253,,,,1401,254,,15,,120120120,LNPC0213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Guardian,fishman2.mon,290,630,270,167,,55,352,304,241,205,143,89,125,,256,1722,271,0,80,,,,,,350,10,0,75,253,,,,1401,254,,15,,,LNPC0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,
Grunter Guardian,captain_pig1.mon,300,650,320,138,,70,375,391,289,266,177,109,120,,257,1793,272,0,82,,,,,,350,10,0,20,237,,,,1401,238,,15,,,LNPC0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,
Krawfy Guardian,lobster2.mon,330,710,330,,,85,397,466,341,339,214,147,130,,258,2280,273,0,83,,,,,,250,10,0,57,233,,,,1401,234,,15,,,LNPC0217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,
Golem Guardian,stony2.mon,320,690,360,,,95,412,530,376,381,246,163,110,,259,2135,274,0,84,,,,,,250,10,2,84,,,251,445,1401,250,,15,,,LNPC0218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,
Goblin Guardian,goblin_boss1.mon,310,730,330,173,,105,426,599,410,449,289,185,110,,260,2217,275,0,85,,,,,,250,10,0,72,265,,,,1401,266,,15,,,LNPC0219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,
,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunter King,captain_pig1.mon,300,650,300,138,,60,175,286,205,227,161,73,95,,59,572,208,30,76,,,,,,350,10,0,20,237,,,,1401,238,,15,,180120190,LNPC0209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krawfy King,lobster2.mon,330,710,300,,,75,186,356,240,286,207,92,95,,61,634,209,30,76,,,,,,250,10,0,57,233,,,,1401,234,,15,,180120190,LNPC0212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandmaster Golem,stony2.mon,350,750,380,,,90,220,429,277,350,256,112,100,,65,876,210,20,78,,,,,,250,10,2,84,,,251,445,1401,250,,15,,180120190,LNPC0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flanae,Dedieye.mon,0,0,80,1072,,7,,,,,,,90,1,15,,116,,60,,,,,,1750,,1,0,,,,,1401,198,,11,,,LNPC0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flanae,ward1.mon,0,0,80,1072,,7,,,,,,,90,1,15,,116,,60,,,,,,1750,,1,0,,,,,1401,198,,11,,,LNPC0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Flanae,ward2.mon,0,0,100,1072,,8,,,,,,,85,1,15,,117,,60,,,,,,1750,,1,0,,,,,1401,198,,11,,,LNPC0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Flanae,ward3.mon,0,0,100,1073,,16,,,,,,,85,1,15,,118,,60,,,,,,2400,,1,0,,,,,1401,198,,11,,,LNPC0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV10,jellybean2.mon,150,350,150,,,10,26,35,67,41,21,26,100,,21,28,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV20,jellybean2.mon,150,350,157,,,20,25,69,81,63,37,38,100,,21,33,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV30,jellybean2.mon,150,350,164,,,30,25,105,96,88,55,50,100,,21,37,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV40,jellybean2.mon,150,350,171,,,40,27,142,112,115,74,63,100,,21,43,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV50,jellybean2.mon,150,350,178,,,50,28,181,129,143,96,76,100,,21,48,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV60,jellybean2.mon,150,350,185,,,60,29,221,146,174,119,90,100,,21,52,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV70,jellybean2.mon,150,350,192,,,70,31,262,165,207,143,105,100,,21,59,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV80,jellybean2.mon,150,350,199,,,80,32,305,183,242,169,120,100,,21,64,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV90,jellybean2.mon,150,350,206,,,90,33,349,203,278,196,135,100,,21,69,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV100,jellybean2.mon,150,350,213,,,100,34,394,223,316,225,151,100,,21,75,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV110,jellybean2.mon,150,350,220,,,110,36,440,244,355,255,168,100,,21,82,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV120,jellybean2.mon,150,350,227,,,120,37,487,265,396,286,185,100,,21,87,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV130,jellybean2.mon,150,350,234,,,130,38,536,287,438,318,202,100,,21,93,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV140,jellybean2.mon,150,350,241,,,140,39,585,309,482,351,220,100,,21,99,210,20,78,,,,,,200,10,,48,229,,,,1401,,,,,,LNPC0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
