,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability,Rare Type,Defence,Magic Resistence,Move Speed,Item Set,Dynamic EQ,Trade Key,Expire,Effect,NPC,Space,Prefix,
????3??-??????????,,,,161,52350,0,,91,,,,,11,,,28,,,31,125,,,,,,,,,72,,27,5,,,,,,,,,,
????3??-??????????,,,,161,68350,0,,96,,,,,11,,,28,,,31,135,,,,,,,,,76,,30,6,,,,,,,,,,
????3??-??????????,,,,161,86700,0,,101,,,,,12,,,28,,,31,145,,,,,,,,,80,,33,6,,,,,,,,,,
????3??-??????????,,,,161,109000,0,,106,,,,,13,,,28,,,31,155,,,,,,,,,84,,36,7,,,,,,,,,,
????3??-??????????,,,,161,135100,0,,111,,,,,14,,,28,,,31,165,,,,,,,,,88,,39,8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Backshield,BACK\back_career_shield_001.txt,,,161,45023,0,30,10,3551,248,580,,,,,,,,31,114,,,,38,90,,,,55,,34,18,,,,,,,,,,LBAC186
Totem Backshield,BACK\back_career_shield_002.txt,,,161,52001,0,30,55,3552,248,580,,,342,45,,,,31,126,,,,38,100,,18,5,63,,38,20,,,,,,,,,,LBAC187
Sanctuary Backshield,BACK\back_career_shield_003.txt,,,161,120102,0,30,66,3553,248,580,,,343,59,,,,31,157,,,,38,135,,18,8,80,,51,27,,,,,,,,,,LBAC188
Angel Protection Backshield,BACK\back_career_shield010.txt,,,161,1,0,30,10,3554,248,579,,,,,,,,,,,,,,,,,,50,,50,50,,,,,,,,,,LBAC189
PluiePluie Monster,BACK\back_career_shield011.txt,,6,162,0,0,15,10,3555,248,579,,,,,,,,,,,,,25,600,,,,75,,10,20,,,,,,,,,,LBAC190
Small Golem,BACK\back_career_shield012.txt,,6,162,0,0,15,10,3556,248,579,,,,,,,,,,,,,25,600,,,,75,,20,10,,,,,,,,,,LBAC191
Angel Love Wings,BACK\back_career_shield013.txt,,6,161,0,0,5,10,3557,248,579,,,,,,,,,,,,,,,,,,50,,2,1,,,,,,,,,,LBAC192
Girl Doll,BACK\back_fashion_pack001_i.txt,,7,160,1000,0,2,16,3558,248,579,,,,,,,,,,,,,,,,,,35,,10,10,,,,,,,,,,LBAC193
Pig Head,BACK\back_fashion_pack002.txt,,6,162,1000,0,15,10,3559,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC194
Blue Butterfly Wings,BACK\back_fashion_wing003.txt,,,163,1,0,30,10,3560,248,579,,,,,,,,,,,,,,,,,,50,,50,50,,,,,,,,,,LBAC195
Honey Bear,BACK\back_fashion_pack004_e.txt,,,162,1,0,30,10,3562,248,579,,,,,,,,,,,,,,,,,,50,,50,50,,,,,,,,,,LBAC196
Honey Jar,BACK\back_fashion_pack005_e.txt,,,162,1,0,30,10,3563,248,579,,,,,,,,,,,,,,,,,,50,,50,50,,,,,,,,,,LBAC197
Red Jetpack,BACK\back_fashion_wing006.txt,,,163,1,0,30,10,3564,248,579,,,,,,,,,,,,,,,,,,50,,50,50,,,,,,,,,,LBAC198
Electric Guitar,BACK\back_fashion_shield007.txt,,6,161,0,0,10,10,3565,248,579,,,,,,,,,,,,,,,,,,75,,10,10,,,,,,,,,,LBAC199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
???????? ????,,,,162,350,0,,16,741,248,,,,,,,,,,,,,,25,,,,,27,,,,,,,,,,,,,LBAC201
Leather Bag,BACK\back_pack02.txt,,,162,3950,0,5,19,742,248,579,16,1,371,18,,,,31,8,,,,25,300,,,,31,,1,1,,,,,,,,3,,LBAC202
Wooden Chest,BACK\back_pack01.txt,,,162,6500,0,10,23,743,248,579,16,2,372,22,,,,31,18,,,,25,370,,,,36,,2,1,,,,,,,,6,,LBAC203
??????????,,,,162,8900,0,,27,744,248,579,,3,,,,,,31,28,,,,25,430,,,,41,,1,1,,,,,,,,,,LBAC204
????????,,,,162,12250,0,,31,745,248,579,,4,,,,,,31,38,,,,25,490,,,,46,,2,1,,,,,,,,,,LBAC205
Cutie Bag,BACK\back_pack03.txt,,,162,16050,0,5,34,746,248,579,,,374,25,,,,31,46,,,,25,550,,,,50,,2,1,,,,,,,,12,,LBAC206
???? ??,,,,162,20250,0,,38,747,248,579,,5,,,,,,31,54,,,,25,600,,,,54,,2,2,,,,,,,,,,LBAC207
Street Bag,BACK\back_pack04.txt,,,162,24900,0,5,41,748,248,579,,,375,30,,,,31,62,,,,25,650,,,,58,,2,3,,,,,,,,15,,LBAC208
???? ??,,,,162,29350,0,,44,749,248,579,,6,,,,,,31,70,,,,25,700,,,,62,,3,1,,,,,,,,,,LBAC209
Tamiya Bag,BACK\back_01800.txt,,,162,35000,0,5,47,750,248,579,,,373,38,,,,31,78,,,,25,750,,,,66,,3,1,,,,,,,,18,,LBAC210
Ferrell Bag,BACK\back_pack05.txt,,,162,50000,0,10,50,751,248,579,,,,150,,,,31,86,,,,25,1000,,63,1,70,5,10,10,,,,,,,,27,,LBAC211
Magic Cubic,BACK\back_shield11.txt,,,162,95550,0,5,53,749,248,579,,,376,42,,,,31,100,,,,25,1100,,,,77,,12,8,,,,,,,,21,,LBAC212
,,,,162,120200,0,,56,754,248,579,,11,,,,,,31,115,,,,25,1200,,,,85,,14,9,,,,,,,,,,LBAC213
?????? ??,,,,162,65050,0,,59,755,248,579,,12,,,,,,31,107,,,,25,950,,,,81,,4,3,,,,,,,,,,LBAC214
?????? ??,,,,162,73900,0,,62,756,248,579,,13,,,,,,31,114,,,,25,1000,,,,84,,5,1,,,,,,,,,,LBAC215
?????? ??,,,,162,85350,0,,64,757,248,579,,15,,,,,,31,121,,,,25,1050,,,,88,,5,5,,,,,,,,,,LBAC216
???????? ????,,,,162,97300,0,,67,758,248,579,,16,,,,,,31,128,,,,25,1100,,,,91,,6,5,,,,,,,,,,LBAC217
???????? ????,,,,162,110650,0,,70,759,248,579,,17,,,,,,31,135,,,,25,1150,,,,95,,6,7,,,,,,,,,,LBAC218
?????? ????,,,,162,125900,0,,73,760,248,579,,18,,,,,,31,142,,,,25,1200,,,,98,,7,8,,,,,,,,,,LBAC219
???????? ????,,,,162,143950,0,,76,761,248,579,,19,,,,,,31,149,,,,25,1250,,,,102,,8,10,,,,,,,,,,LBAC220
Fairy Wing ,BACK\back_wing05.txt,,,163,6100,0,2,22,767,248,579,16,2,381,22,,,,31,15,,,,23,50,,,,35,,1,1,,,,,,,,,,LBAC221
Nymph Wing ,BACK\back_wing05.txt,,,163,10350,0,10,26,768,248,579,,3,,,,,,31,25,,,,23,50,,,,40,,2,4,,,,,,,,,,LBAC222
Butterfly Wing,BACK\back_wing01.txt,,,163,13150,0,5,30,769,248,579,16,4,382,23,42,,,31,35,,,,23,55,,,,45,,2,5,,,,,,,,,,LBAC223
Little Angel Wing,BACK\back_wing03.txt,,,163,25100,0,6,34,770,248,579,16,5,383,24,42,,,31,45,,,,23,60,,,,50,,3,10,,,,,,,,,,LBAC224
Little Devil Wing,BACK\back_wing04.txt,,,163,29500,0,8,36,771,248,579,16,5,384,25,,,,31,50,,,,23,50,,,,52,,6,10,,,,,,,,,,LBAC225
Crow Wing ,BACK\back_wing02.txt,,,163,37900,0,15,40,772,248,579,16,6,385,26,,,,31,60,,,,23,70,,,,57,,8,8,,,,,,,,,,LBAC226
Angel Wing,BACK\back_wing08.txt,,,163,39400,0,15,44,773,248,579,16,7,387,30,42,,,31,70,,,,23,60,,,,55,,7,11,,,,,,,,,,LBAC227
Devil Wing,BACK\back_wing07.txt,,,163,46150,0,20,46,774,248,579,16,7,388,35,,,,31,76,,,,23,60,,,,57,,8,12,,,,,,,,,,LBAC228
,,,,163,58950,0,,49,775,248,579,,8,,,,,,31,82,,,,23,65,,,,60,,9,14,,,,,,,,,,LBAC229
,,,,163,68650,0,,50,776,248,579,,8,,,,,,31,85,,,,23,70,,,,61,,10,15,,,,,,,,,,LBAC230
Worm Dragon Wing,BACK\back_wing06.txt,,,163,81700,0,20,54,777,248,579,16,9,386,40,,,,31,88,,,,23,75,,,,65,,11,16,,,,,,,,,,LBAC231
???????? ????,,,,163,99600,0,,60,778,248,579,,10,,,,,,31,110,,,,23,80,,,,75,,12,18,,,,,,,,,,LBAC232
Astarot Wing,BACK\back_wing12.txt,,,163,129250,0,10,66,775,248,579,,12,,,,,,31,125,,,,23,90,,20,20,77,,13,19,,,,,,,,,,LBAC233
???????? ????,,,,163,130850,0,,62,781,248,579,,13,,,,,,31,115,,,,23,80,,,,73,,14,21,,,,,,,,,,LBAC234
???????? ????,,,,163,147750,0,,64,782,248,579,,14,,,,,,31,120,,,,23,85,,,,75,,15,22,,,,,,,,,,LBAC235
???????? ????,,,,163,163350,0,20,66,783,248,579,,16,,,,,,31,125,,,,23,85,,,,77,,16,23,,,,,,,,,,LBAC236
???????? ????,,,,163,192500,0,,70,784,248,579,,17,,,,,,31,135,,,,23,90,,,,81,,17,25,,,,,,,,,,LBAC237
?????????? ????,,,,163,212950,0,,73,785,248,579,,18,,,,,,31,142,,,,23,90,,,,84,,18,26,,,,,,,,,,LBAC238
???????? ????,,,,163,245450,0,,76,786,248,579,,19,,,,,,31,150,,,,23,95,,,,87,,19,28,,,,,,,,,,LBAC239
???????? ????,,,,163,245450,0,,76,786,248,579,,19,,,,,,31,150,,,,23,95,,,,87,,19,28,,,,,,,,,,LBAC239
Turtle Backshield,BACK\back_shield01.txt,,,161,3300,0,20,21,793,248,580,16,1,351,15,,,,31,12,,,,38,15,,,,33,,5,1,,,,,,,,,,LBAC241
Endeavor Backshield,BACK\back_shield02.txt,,,161,5000,0,20,25,794,248,580,16,1,352,18,,,,31,22,,,,38,20,,,,38,,6,2,,,,,,,,,,LBAC242
Training Backshield,BACK\back_shield03.txt,,,161,8250,0,20,29,795,248,580,16,2,353,21,,,,31,32,,,,38,25,,,,43,,8,3,,,,,,,,,,LBAC243
Guard Backshield,BACK\back_shield04.txt,,,161,12550,0,20,33,796,248,580,16,3,354,24,,,,31,42,,,,38,30,,,,48,,10,4,,,,,,,,,,LBAC244
Lion Backshield,BACK\back_shield05.txt,,,161,17600,0,30,36,797,248,580,16,4,355,27,,,,31,50,,,,38,40,,,,50,,12,5,,,,,,,,,,LBAC245
MiniBuffalo Backshield,BACK\back_shield07.txt,,,161,23600,0,15,39,812,248,580,,,,,,,,31,58,,,,38,45,,,,51,,14,6,,,,,,,,,,LBAC261
Buffalo Backshield,BACK\back_shield06.txt,,,161,30800,0,30,42,799,248,580,16,5,357,33,,,,31,66,,,,38,50,,,,53,,16,7,,,,,,,,,,LBAC247
Lizard Backshield,BACK\back_shield08.txt,,,161,40000,0,,46,800,248,580,,,,150,,,,31,74,,,,38,100,,10,4,57,5,24,10,,,,,,,,,,LBAC248
,,,,161,49350,0,,48,801,248,580,,7,,,,,,31,81,,,,,,,,,59,,20,9,,,,,,,,,,LBAC249
?????? ????,,,,161,60800,0,,51,802,248,580,,8,,,,,,31,88,,,,,,,,,62,,22,10,,,,,,,,,,LBAC250
?????? ????,,,,161,73900,0,,54,803,248,580,,9,,,,,,31,95,,,,,,,,,65,,24,11,,,,,,,,,,LBAC251
?????? ????,,,,161,88600,0,,57,804,248,580,,11,,,,,,31,102,,,,,,,,,68,,26,12,,,,,,,,,,LBAC252
????????????,,,,161,105150,0,,60,806,248,580,,12,,,,,,31,109,,,,,,,,,71,,28,13,,,,,,,,,,LBAC253
????????????,,,,161,122250,0,,62,807,248,580,,13,,,,,,31,116,,,,,,,,,73,,30,14,,,,,,,,,,LBAC254
????????????,,,,161,142550,0,,65,808,248,580,,15,,,,,,31,123,,,,,,,,,76,,32,15,,,,,,,,,,LBAC255
????????????,,,,161,165000,0,,68,809,248,580,,16,,,,,,31,130,,,,,,,,,79,,34,16,,,,,,,,,,LBAC256
????????????,,,,161,189700,0,,71,810,248,580,,17,,,,,,31,137,,,,,,,,,82,,36,17,,,,,,,,,,LBAC257
?????? ??????,,,,161,216800,0,,74,811,248,580,,18,,,,,,31,144,,,,,,,,,85,,38,18,,,,,,,,,,LBAC258
?????? ??????,,,,161,243850,0,,76,812,248,580,,18,,,,,,31,151,,,,,,,,,87,,40,19,,,,,,,,,,LBAC259
????????,,,,161,275850,0,,79,813,248,580,,19,,,,,,31,158,,,,,,,,,90,,42,20,,,,,,,,,,LBAC260
MiniBuffalo Backshield,BACK\back_shield07.txt,,7,161,3900,0,10,35,812,248,580,,,,480,,,,,,,,,,,,,,40,,8,8,,,,,,,,,,LBAC261
Astarot Hunter Wing,BACK\back_wing17.txt,,,163,35200,0,15,44,762,248,579,,,,480,,,,31,60,,,,23,100,,24,12,75,5,15,23,,,,,,,,,,LBAC262
????????03,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????04,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????05,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????06,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????07,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????08,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????09,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????10,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????11,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????12,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????13,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????14,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????15,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????16,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????17,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????18,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????19,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
????????20,,,,161,100,0,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,,,,
Akram Kingdom Cape,,,6,161,100000,0,15,50,5311,248,579,,,,,,,,,,,,,,,,,,75,,10,10,,,,,,,,,,LBAC285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clockwork Key,BACK\back_fashion_shield008.txt,,6,161,1000,0,3,10,3566,248,579,,,,,,,,,,,,,,,,,,30,,15,10,,,,,,,,,,LBAC287
Sheath Backshield,BACK\back_fashion_shield009_k.txt,,,161,15205,0,20,10,3567,248,580,,,,,,,,31,176,,,,38,150,,10,8,75,,58,31,,,,,,,,,,LBAC288
Small Shark Fin,BACK\back_fashion_shield010.txt,,6,160,4522,0,1,10,3568,248,579,93,1,1839,1,,,,,,,,,,,,,,30,10,1,1,,,,,,,,,,LBAC289
Dual Rapier Backshield,BACK\back_career_shield_004.txt,,,161,13560,0,20,10,3569,248,580,,,,,,,,31,94,,,,38,70,,,,50,,27,13,,,,,,,,,,LBAC290
Holy Cross Backshield,BACK\back_career_shield_005.txt,,,161,27205,0,20,10,3570,248,580,,,,,,,,31,143,,,,38,120,,18,5,70,,45,23,,,,,,,,,,LBAC291
Minotaurus Backshield,BACK\back_career_shield014.txt,,,161,15363,0,20,10,3571,248,580,,,,,,,,31,107,,,,38,80,,,,54,,31,16,,,,,,,,,,LBAC292
Spider Shell Backshield,BACK\back_career_shield015.txt,,6,161,36222,0,20,10,3572,248,580,,,,,,,,31,35,,,,,,,,,50,,15,15,,,,,,,,,,LBAC293
Marlphos Gleaming Blades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBAC294
Sunrise Backshield,BACK\back_unioncrystal01.txt,,,161,33000,0,30,10,2379,248,580,,,,,,,,31,120,114,10,,38,250,,,,60,,40,30,,,,,,,,,,LBAC295
Dusk Backshield,BACK\back_unioncrystal02.txt,,,161,33000,0,30,10,2377,248,580,,,,,,,,31,120,114,10,,38,250,,,,60,,40,30,,,,,,,,,,LBAC296
Berkana Backshield,BACK\back_berkana.txt,,,161,33000,0,30,75,2437,870,580,,,,,,,,,,,,,10,15,,27,50,60,,1,1,,,20,,,,3795,,22,LBAC297
Berkana Backshield,BACK\back_berkana.txt,,,161,33000,0,30,75,2437,870,580,,,,,,,,,,,,,11,15,,27,50,60,,1,1,,,20,,,,3795,,22,LBAC297
Berkana Backshield,BACK\back_berkana.txt,,,161,33000,0,30,75,2437,870,580,,,,,,,,,,,,,12,15,,27,50,60,,1,1,,,20,,,,3795,,22,LBAC297
Berkana Backshield,BACK\back_berkana.txt,,,161,33000,0,30,75,2437,870,580,,,,,,,,,,,,,13,15,,27,50,60,,1,1,,,20,,,,3795,,22,LBAC297
Berkana Backshield,BACK\back_berkana.txt,,,161,33000,0,30,75,2437,870,580,,,,,,,,,,,,,15,15,,27,50,60,,1,1,,,20,,,,3795,,22,LBAC297
Necromancer's Artifact,BACK\clothequipment_back_0804.txt,,,161,33654,0,20,70,9656,248,580,,,,,63,,,31,176,,,,18,20,,62,30,64,,39,32,,,,,,713,,,,LBAC302
Exiling Backshield,BACK\back_shield16.txt,,,161,33470,0,20,70,9835,248,580,,,,,71,,,31,190,,,,38,140,,150,1,66,,60,30,,,,,,,,,,LBAC303
Exiling Blue Backshield,BACK\back_shield16.txt,,,161,33470,0,20,70,9836,248,580,16,11,187,35,71,,,31,190,,,,38,180,,151,2,66,,60,30,,,,,,,,,,LBAC304
Exiling Red Backshield,BACK\back_shield16.txt,,,161,33470,0,20,70,9837,248,580,16,11,188,35,71,,,31,190,,,,38,180,,152,2,66,,60,30,,,,,,,,,,LBAC305
Exiling Gold Backshield,BACK\back_shield16.txt,,,161,33470,0,20,70,9838,248,580,16,11,189,35,71,,,31,190,,,,38,240,,150,3,66,,60,30,,,,,,715,,,,LBAC306
Celestial Bodies,BACK\back_celestial.txt,,,161,322015,0,50,70,9815,869,580,,,,,,,,10,240,,,,38,450,,150,5,70,,61,31,,,,,,,3812,,21,LBAC307
Pumpkin Bag,BACK\back_pack99.txt,0,,162,10000,0,1,22,720,248,579,,,,,,,,31,10,,,,25,200,,14,10,48,,1,1,0,,,,,,,,,LBAC308
Leather Bag,BACK\back_pack02.txt,0,,162,17550,0,5,23,742,248,579,,,,,,,,31,8,,,,25,300,,0,0,42,,4,4,0,,,,,,,,,LBAC202
Leather Bag,BACK\back_pack02.txt,0,,162,17900,0,5,24,742,248,579,,,,,,,,31,9,,,,25,300,,0,0,43,,4,4,0,,,,,,,,,LBAC202
Leather Bag,BACK\back_pack02.txt,0,,162,18900,0,5,25,742,248,579,,,,,,,,31,10,,,,25,300,,0,0,45,,5,4,0,,,,,,,,,LBAC202
Leather Bag,BACK\back_pack02.txt,0,,162,19650,0,5,26,742,248,579,,,,,,,,31,11,,,,25,300,,0,0,46,,5,5,0,,,,,,,,,LBAC202
Leather Bag,BACK\back_pack02.txt,0,,162,19950,0,5,27,742,248,579,,,,,0,,,31,12,,,,25,300,,0,0,47,,5,5,0,,,,,,,,,LBAC202
Leather Bag,BACK\back_pack02.txt,0,,162,21150,0,5,28,742,248,579,,,,,0,,,31,13,,,,25,300,,0,0,48,,6,5,0,,,,,,,,,LBAC202
Wooden Chest,BACK\back_pack01.txt,0,,162,27100,0,10,26,743,248,579,,,,,0,,,31,17,,,,25,370,,0,0,42,,5,4,0,,,,,,,,,LBAC203
Wooden Chest,BACK\back_pack01.txt,0,,162,27600,0,10,27,743,248,579,,,,,0,,,31,18,,,,25,370,,0,0,44,,5,4,0,,,,,,,,,LBAC203
Wooden Chest,BACK\back_pack01.txt,0,,162,28850,0,10,28,743,248,579,,,,,0,,,31,19,,,,25,370,,0,0,45,,6,4,0,,,,,,,,,LBAC203
Wooden Chest,BACK\back_pack01.txt,0,,162,29750,0,10,29,743,248,579,,,,,0,,,31,20,,,,25,370,,0,0,46,,6,5,0,,,,,,,,,LBAC203
Wooden Chest,BACK\back_pack01.txt,0,,162,30250,0,10,30,743,248,579,,,,,0,,,31,21,,,,25,370,,0,0,47,,6,5,0,,,,,,,,,LBAC203
Wooden Chest,BACK\back_pack01.txt,0,,162,31700,0,10,31,743,248,579,,,,,0,,,31,22,,,,25,370,,0,0,48,,7,5,0,,,,,,,,,LBAC203
Wooden Chest,BACK\back_pack01.txt,0,,162,32200,0,10,32,743,248,579,,,,,0,,,31,23,,,,25,370,,0,0,49,,7,5,0,,,,,,,,,LBAC203
???? ??????????,0,0,,162,36950,0,0,30,744,248,579,,,,,0,,,31,27,,,,25,430,,0,0,44,,4,4,0,,,,,,,,,
???? ??????????,0,0,,162,38300,0,0,31,744,248,579,,,,,0,,,31,28,,,,25,430,,0,0,45,,5,4,0,,,,,,,,,
???? ??????????,0,0,,162,39350,0,0,32,744,248,579,,,,,0,,,31,29,,,,25,430,,0,0,46,,5,5,0,,,,,,,,,
???? ??????????,0,0,,162,39950,0,0,33,744,248,579,,,,,0,,,31,30,,,,25,430,,0,0,47,,5,5,0,,,,,,,,,
???? ??????????,0,0,,162,41450,0,0,34,744,248,579,,,,,0,,,31,31,,,,25,430,,0,0,48,,6,5,0,,,,,,,,,
???? ??????????,0,0,,162,42650,0,0,35,744,248,579,,,,,0,,,31,32,,,,25,430,,0,0,49,,6,6,0,,,,,,,,,
?????? ??????????,0,0,,162,44250,0,0,36,744,248,579,,,,,0,,,31,33,,,,25,430,,0,0,50,,7,6,0,,,,,,,,,
???? ????????,0,0,,162,51600,0,0,34,745,248,579,,,,,0,,,31,37,,,,25,490,,0,0,45,,6,4,0,,,,,,,,,
???? ????????,0,0,,162,52800,0,0,35,745,248,579,,,,,0,,,31,38,,,,25,490,,0,0,46,,6,5,0,,,,,,,,,
???? ????????,0,0,,162,53650,0,0,36,745,248,579,,,,,0,,,31,39,,,,25,490,,0,0,47,,6,5,0,,,,,,,,,
???? ????????,0,0,,162,55400,0,0,37,745,248,579,,,,,0,,,31,40,,,,25,490,,0,0,48,,7,5,0,,,,,,,,,
???? ????????,0,0,,162,56800,0,0,38,745,248,579,,,,,0,,,31,41,,,,25,490,,0,0,49,,7,6,0,,,,,,,,,
???? ????????,0,0,,162,58750,0,0,39,745,248,579,,,,,0,,,31,42,,,,25,490,,0,0,50,,8,6,0,,,,,,,,,
?????? ????????,0,0,,162,59650,0,0,40,745,248,579,,,,,0,,,31,43,,,,25,490,,0,0,52,,8,6,0,,,,,,,,,
Cutie Bag,BACK\back_pack03.txt,0,,162,67000,0,0,37,746,248,579,,,,,0,,,31,45,,,,25,550,,0,0,46,,6,5,0,,,,,,,,,LBAC206
Cutie Bag,BACK\back_pack03.txt,0,,162,68000,0,0,38,746,248,579,,,,,0,,,31,46,,,,25,550,,0,0,47,,6,5,0,,,,,,,,,LBAC206
Cutie Bag,BACK\back_pack03.txt,0,,162,70000,0,0,39,746,248,579,,,,,0,,,31,47,,,,25,550,,0,0,48,,7,5,0,,,,,,,,,LBAC206
Cutie Bag,BACK\back_pack03.txt,0,,162,71600,0,0,40,746,248,579,,,,,0,,,31,48,,,,25,550,,0,0,49,,7,6,0,,,,,,,,,LBAC206
Cutie Bag,BACK\back_pack03.txt,0,,162,73750,0,0,41,746,248,579,,,,,0,,,31,49,,,,25,550,,0,0,50,,8,6,0,,,,,,,,,LBAC206
Cutie Bag,BACK\back_pack03.txt,0,,162,74750,0,0,42,746,248,579,,,,,0,,,31,50,,,,25,550,,0,0,51,,8,6,0,,,,,,,,,LBAC206
Cutie Bag,BACK\back_pack03.txt,0,,162,77800,0,0,43,746,248,579,,,,,0,,,31,51,,,,25,550,,0,0,53,,9,7,0,,,,,,,,,LBAC206
???? ???? ??,0,0,,162,83750,0,0,41,747,248,579,,,,,0,,,31,53,,,,25,600,,0,0,47,,6,6,0,,,,,,,,,
???? ???? ??,0,0,,162,85950,0,0,42,747,248,579,,,,,0,,,31,54,,,,25,600,,0,0,48,,7,6,0,,,,,,,,,
???? ???? ??,0,0,,162,87800,0,0,43,747,248,579,,,,,0,,,31,55,,,,25,600,,0,0,49,,7,7,0,,,,,,,,,
???? ???? ??,0,0,,162,90200,0,0,44,747,248,579,,,,,0,,,31,56,,,,25,600,,0,0,50,,8,7,0,,,,,,,,,
???? ???? ??,0,0,,162,91450,0,0,45,747,248,579,,,,,0,,,31,57,,,,25,600,,0,0,51,,8,7,0,,,,,,,,,
???? ???? ??,0,0,,162,94700,0,0,46,747,248,579,,,,,0,,,31,58,,,,25,600,,0,0,52,,9,8,0,,,,,,,,,
?????? ???? ??,0,0,,162,95950,0,0,47,747,248,579,,,,,0,,,31,59,,,,25,600,,0,0,53,,9,8,0,,,,,,,,,
Street Bag,BACK\back_pack04.txt,0,,162,102900,0,0,44,748,248,579,,,,,0,,,31,61,,,,25,650,,0,0,48,,7,7,0,,,,,,,,,LBAC208
Street Bag,BACK\back_pack04.txt,0,,162,104950,0,0,45,748,248,579,,,,,0,,,31,62,,,,25,650,,0,0,49,,7,8,0,,,,,,,,,LBAC208
Street Bag,BACK\back_pack04.txt,0,,162,107600,0,0,46,748,248,579,,,,,0,,,31,63,,,,25,650,,0,0,50,,8,8,0,,,,,,,,,LBAC208
Street Bag,BACK\back_pack04.txt,0,,162,109000,0,0,47,748,248,579,,,,,0,,,31,64,,,,25,650,,0,0,51,,8,8,0,,,,,,,,,LBAC208
Street Bag,BACK\back_pack04.txt,0,,162,112600,0,0,48,748,248,579,,,,,0,,,31,65,,,,25,650,,0,0,52,,9,9,0,,,,,,,,,LBAC208
Street Bag,BACK\back_pack04.txt,0,,162,114100,0,0,49,748,248,579,,,,,0,,,31,66,,,,25,650,,0,0,53,,9,9,0,,,,,,,,,LBAC208
Street Bag,BACK\back_pack04.txt,0,,162,117050,0,0,50,748,248,579,,,,,0,,,31,67,,,,25,650,,0,0,54,,10,9,0,,,,,,,,,LBAC208
???? ???? ??,0,0,,162,122600,0,0,47,749,248,579,,,,,0,,,31,69,,,,25,700,,0,0,49,,8,5,0,,,,,,,,,
???? ???? ??,0,0,,162,124800,0,0,48,749,248,579,,,,,0,,,31,70,,,,25,700,,0,0,50,,8,6,0,,,,,,,,,
???? ???? ??,0,0,,162,127750,0,0,49,749,248,579,,,,,0,,,31,71,,,,25,700,,0,0,51,,9,6,0,,,,,,,,,
???? ???? ??,0,0,,162,129400,0,0,50,749,248,579,,,,,0,,,31,72,,,,25,700,,0,0,52,,9,6,0,,,,,,,,,
???? ???? ??,0,0,,162,133250,0,0,51,749,248,579,,,,,0,,,31,73,,,,25,700,,0,0,53,,10,7,0,,,,,,,,,
???? ???? ??,0,0,,162,136600,0,0,52,749,248,579,,,,,0,,,31,74,,,,25,700,,0,0,54,,11,7,0,,,,,,,,,
?????? ???? ??,0,0,,162,139100,0,0,53,749,248,579,,,,,0,,,31,75,,,,25,700,,0,0,55,,11,8,0,,,,,,,,,
