,,,,441,,,,Usestring,Icon,LUA,SysMsg,,,,,,,,,,,,,,,,,,,,,Description
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldie Soul,,,,441,,,,,5730,,,,,,,,,,,,,,,,,,,,,,,LQIT349
Proof of the Memphis Dungeon,,,,441,,,,,5585,,,,,,,,,,,,,,,,,,,,,,,LQIT350
Spirit Ashes,,,,441,,,,,5689,,,,,,,,,,,,,,,,,,,,,,,LQIT351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amivhea Eye,,,,441,,,,,9986,,,,,,,,,,,,,,,,,,,,,,,LQIT358
Ghost Chain,,,,441,,,,,9987,,,,,,,,,,,,,,,,,,,,,,,LQIT359
Jabberwock's Horn Piece,,,,441,,,,,5627,,,,,,,,,,,,,,,,,,,,,,,LQIT360
Sharp Fang,,,,441,,,,,6552,,,,,,,,,,,,,,,,,,,,,,,LQIT361
Amivhea Poison,,,,441,,,,,6553,,,,,,,,,,,,,,,,,,,,,,,LQIT362
Broken Rune Stone,,,,441,,,,,6554,,,,,,,,,,,,,,,,,,,,,,,LQIT363
Arvaos Wing,,,,441,,,,,6555,,,,,,,,,,,,,,,,,,,,,,,LQIT364
Denvanus Crystal,,,,441,,,,,6556,,,,,,,,,,,,,,,,,,,,,,,LQIT365
Judge's Cloth,,,,441,,,,,6557,,,,,,,,,,,,,,,,,,,,,,,LQIT366
Mutation's Bone,,,,441,,,,,6558,,,,,,,,,,,,,,,,,,,,,,,LQIT367
Zombie's Bone,,,,441,,,,,6559,,,,,,,,,,,,,,,,,,,,,,,LQIT368
Sacred Stone,,,,441,,,,,6560,,,,,,,,,,,,,,,,,,,,,,,LQIT369
Karkian Energy Plasma (1),,,,441,,,,,6561,,,,,,,,,,,,,,,,,,,,,,,LQIT370
Karkian Energy Plasma (2),,,,441,,,,,6562,,,,,,,,,,,,,,,,,,,,,,,LQIT371
Old Diary,,,,441,,,,,6563,,,,,,,,,,,,,,,,,,,,,,,LQIT372
Gray Stone,,,,441,,,,,6565,,,,,,,,,,,,,,,,,,,,,,,LQIT373
Rotten Twig,,,,441,,,,,6566,,,,,,,,,,,,,,,,,,,,,,,LQIT374
Fisured Bone,,,,441,,,,,6567,,,,,,,,,,,,,,,,,,,,,,,LQIT375
Burned Metal Piece,,,,441,,,,,6568,,,,,,,,,,,,,,,,,,,,,,,LQIT376
Mutated Karkian Flesh,,,,441,,,,,6569,,,,,,,,,,,,,,,,,,,,,,,LQIT377
Karkian Beast Flesh,,,,441,,,,,6570,,,,,,,,,,,,,,,,,,,,,,,LQIT378
Fazzy Blood,,,,441,,,,,6571,,,,,,,,,,,,,,,,,,,,,,,LQIT379
Atomic Bomb,,,,441,,,,,6572,,,,,,,,,,,,,,,,,,,,,,,LQIT380
Nista,,,,441,,,,,6653,,,,,,,,,,,,,,,,,,,,,,,LQIT381
Poison Potion,,,,441,,,,,6652,12,,,,,,,,,,,,,,,,,,,,,,LQIT382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check Point,,,,441,,,,,4669,,,,,,,,,,,,,,,,,,,,,,,LQIT400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scroll of Survival,,,,441,,,,,1690,,,,,,,,,,,,,,,,,,,,,,,LQIT410
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Saddle,,,,441,,,,,5319,,,,,,,,,,,,,,,,,,,,,,,LQIT450
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junon Order Recommendation,,,,441,,,,,1692,,,,,,,,,,,,,,,,,,,,,,,LQIT476
Ferrell Recommendation,,,,441,,,,,1690,,,,,,,,,,,,,,,,,,,,,,,LQIT477
Arumic Recommendation,,,,441,,,,,1693,,,,,,,,,,,,,,,,,,,,,,,LQIT478
Righteous Recommendation,,,,441,,,,,1691,,,,,,,,,,,,,,,,,,,,,,,LQIT479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proof,,,,441,,,,,1696,,,,,,,,,,,,,,,,,,,,,,,LQIT496
Proof,,,,441,,,,,1697,,,,,,,,,,,,,,,,,,,,,,,LQIT497
Proof of Thief Extermination,,,,441,,,,,1696,,,,,,,,,,,,,,,,,,,,,,,LQIT498
Proof of Monster Extermination,,,,441,,,,,1696,,,,,,,,,,,,,,,,,,,,,,,LQIT499
Proof of Monster Extermination,,,,441,,,,,1697,,,,,,,,,,,,,,,,,,,,,,,LQIT500
Pilfered Meat,,,,441,,,,,1642,,,,,,,,,,,,,,,,,,,,,,1952,LQIT501
Grandmaster Stone's Heart,,,,441,,,,,1727,,,,,,,,,,,,,,,,,,,,,,1953,LQIT502
KingKong's Red Sword,,,,441,,,,,921,,,,,,,,,,,,,,,,,,,,,,1953,LQIT503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top Secret Cart Schematic,,,,441,,,,,1954,,,,,,,,,,,,,,,,,,,,,,2003,LQIT505
Pearl Oysters,,,,441,,,,,1753,,,,,,,,,,,,,,,,,,,,,,2004,LQIT506
Elder Appointment Letter,,,,441,,,,,1692,,,,,,,,,,,,,,,,,,,,,,2004,LQIT507
Methio's Engagement Ring,,,,441,,,,,826,,1,,,,,,,,,,,,,,,,,,,,2005,LQIT508
Zeppastone Wind Gem,,,,441,,,,,1930,,1,,,,,,,,,,,,,,,,,,,,,LQIT509
Golden Dagger,,,,441,,,,,2042,,,,,,,,,,,,,,,,,,,,,,,LQIT510
Luna Whiskey,,,,441,,,,,1613,,,,,,,,,,,,,,,,,,,,,,,LQIT511
Shamanic Artifact,,,,441,,,,,2130,,,,,,,,,,,,,,,,,,,,,,,LQIT512
Resurrection Spellbook,,,,441,,,,,1566,,,,,,,,,,,,,,,,,,,,,,,LQIT513
Shamanist Ocarina,,,,441,,,,2314,8575,35,,,,,,,,,,,,,,,,,,,,,,LQIT515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scroll of Life,,,,441,,,,,2555,,,,,,,,,,,,,,,,,,,,,,,LQIT520
Scroll of Life,,,,441,,,,,2555,,,,,,,,,,,,,,,,,,,,,,,LQIT521
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaccine Formula A,,,,441,,,,,2302,,1,,,,,,,,,,,,,,,,,,,,2000,LQIT530
Vaccine Formula B,,,,441,,,,,2303,,1,,,,,,,,,,,,,,,,,,,,2000,LQIT531
Cornell's Letter,,,,441,,,,,2068,,,,,,,,,,,,,,,,,,,,,,2003,LQIT532
Cornell's certificate,,,,441,,,,,2310,,,,,,,,,,,,,,,,,,,,,,2005,LQIT533
Report of Darkness,,,,441,,,,,2302,,,,,,,,,,,,,,,,,,,,,,2006,LQIT534
Captured Dalping,,,,441,,,,,2305,,,,,,,,,,,,,,,,,,,,,,2008,LQIT535
Spero's Vaccine,,,,441,,,,,2306,,,,,,,,,,,,,,,,,,,,,,2010,LQIT536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pony's Pants,,,,441,,,,,3901,,,,,,,,,,,,,,,,,,,,,,,LQIT550
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enigmatic Emblem,,,,441,,,,,2046,,,,,,,,,,,,,,,,,,,,,,,LQIT601
Gypsy's Permit,,,,441,,,,,2071,,,,,,,,,,,,,,,,,,,,,,,LQIT602
Soil of Purification,,,,441,,,,2259,1859,14,,,,,,,,,,,,,,,,,,,,,,LQIT603
Karitte's Antidote,,,,441,,,,,1591,,,,,,,,,,,,,,,,,,,,,,,LQIT604
Antidote Recipe,,,,441,,,,,1690,,,,,,,,,,,,,,,,,,,,,,,LQIT605
Crystal Key,,,,441,,,,,10034,,1,,,,,,,,,,,,,,,,,,,,,LQIT606
Wild Animal Claw,,,,441,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,LQIT607
Sharp Stinger,,,,441,,,,,2125,,,,,,,,,,,,,,,,,,,,,,,LQIT608
Dreadful Book Vol 2,,,,441,,,,,1576,,,,,,,,,,,,,,,,,,,,,,,LQIT609
Five-Color Scale,,,,441,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,LQIT610
Resurrection Medicine,,,,441,,,,2312,9760,15,,,,,,,,,,,,,,,,,,,,,,LQIT611
Small Necklace,,,,441,,,,,867,,,,,,,,,,,,,,,,,,,,,,,LQIT612
Hard Fruit,,,,441,,,,,1983,,,,,,,,,,,,,,,,,,,,,,,LQIT613
Owl Eye,,,,441,,,,2260,1967,16,,,,,,,,,,,,,,,,,,,,,,LQIT614
Small Letter,,,,441,,,,,2068,,,,,,,,,,,,,,,,,,,,,,,LQIT615
Flame of Courage,,,,441,,,,,1655,,,,,,,,,,,,,,,,,,,,,,,LQIT616
Flame of Passion,,,,441,,,,,1656,,,,,,,,,,,,,,,,,,,,,,,LQIT617
Odorous Sweat,,,,441,,,,2317,1744,28,,,,,,,,,,,,,,,,,,,,,,LQIT618
Scarlet Heart,,,,441,,,,,2128,,,,,,,,,,,,,,,,,,,,,,,LQIT619
Lunarian Coffee,,,,441,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,LQIT620
Old Box,,,,441,,,,,1753,,,,,,,,,,,,,,,,,,,,,,,LQIT621
Mana Charger,,,,441,,,,2313,1946,29,,,,,,,,,,,,,,,,,,,,,,LQIT622
Kenji Stone,,,,441,,,,,6628,,,,,,,,,,,,,,,,,,,,,,,LQIT623
Jelly Bean's legs,,,,441,,,,,1991,,,,,,,,,,,,,,,,,,,,,,,LQIT624
Alex's Clothes,,,,441,,,,,274,,,,,,,,,,,,,,,,,,,,,,,LQIT625
Spirit Mirror,,,,441,,,,,1568,,,,,,,,,,,,,,,,,,,,,,,LQIT626
Antidote for Pony,,,,441,,,,,8890,,,,,,,,,,,,,,,,,,,,,,,LQIT627
Antidote for Ronk,,,,441,,,,,8890,,,,,,,,,,,,,,,,,,,,,,,LQIT628
Soul Crystal,,,,441,,,,,2314,,1,,,,,,,,,,,,,,,,,,,,,LQIT629
Mini Bee Stinger,,,,441,,,,,2307,,,,,,,,,,,,,,,,,,,,,,,LQIT630
HoneyBee Wing Powder,,,,441,,,,,2312,,,,,,,,,,,,,,,,,,,,,,,LQIT631
Woopie Fang,,,,441,,,,,2308,,,,,,,,,,,,,,,,,,,,,,,LQIT632
Jet Booster,,,,441,,,,2323,4812,79,,,,,,,,,,,,,,,,,,,,,,LQIT633
Research Notes,,,,441,,,,2349,2302,86,,,,,,,,,,,,,,,,,,,,,,LQIT634
Fredrick's Bell,,,,441,,,,2350,2330,87,,,,,,,,,,,,,,,,,,,,,,LQIT635
Red Paper,,,,441,,,,,2304,,,,,,,,,,,,,,,,,,,,,,,LQIT636
Broken Holy Staff,,,,441,,,,,10020,,1,,,,,,,,,,,,,,,,,,,,,LQIT637
Crystal Gem,,,,441,,,,,9683,,1,,,,,,,,,,,,,,,,,,,,,LQIT638
Arumic Silverstaff,,,,441,,,,,10008,,,,,,,,,,,,,,,,,,,,,,,LQIT639
FrostWorm Scale,,,,441,,,,,2129,,,,,,,,,,,,,,,,,,,,,,,LQIT640
Eliot's Letter,,,,441,,,,,2068,,,,,,,,,,,,,,,,,,,,,,,LQIT641
Small Wooden Box,,,,441,,,,,2309,,,,,,,,,,,,,,,,,,,,,,,LQIT642
Monster Sample,,,,441,,,,,2317,,1,,,,,,,,,,,,,,,,,,,,,LQIT643
Anzhelika's Liquor,,,,441,,,,,1613,,,,,,,,,,,,,,,,,,,,,,,LQIT644
Goblet of Purgation,,,,441,,,,,2318,,,,,,,,,,,,,,,,,,,,,,,LQIT645
Wolf's Skin,,,,441,,,,,2122,,1,,,,,,,,,,,,,,,,,,,,,LQIT646
Blood Sample,,,,441,,,,,2317,,1,,,,,,,,,,,,,,,,,,,,,LQIT647
Est's Report,,,,441,,,,,1691,,,,,,,,,,,,,,,,,,,,,,,LQIT648
Pabel's Comments,,,,441,,,,,1691,,,,,,,,,,,,,,,,,,,,,,,LQIT649
Jones' Letter,,,,441,,,,,2476,,,,,,,,,,,,,,,,,,,,,,,LQIT650
An Elfs Hat,,,,441,,,,,2477,,,,,,,,,,,,,,,,,,,,,,,LQIT651
Christmas Spirit,,,,441,,,,,2478,,,,,,,,,,,,,,,,,,,,,,,LQIT652
The Elf Hat,,,,441,,,,,2477,,,,,,,,,,,,,,,,,,,,,,,LQIT653
The Medallion,,,,441,,,,,2479,,,,,,,,,,,,,,,,,,,,,,,LQIT654
Santas Letter,,,,441,,,,,2480,,,,,,,,,,,,,,,,,,,,,,,LQIT655
Answers for Jones,,,,441,,,,,2480,,,,,,,,,,,,,,,,,,,,,,,LQIT656
Answers for Santa Claus,,,,441,,,,,2480,,,,,,,,,,,,,,,,,,,,,,,LQIT657
An Escaped Reindeer,,,,441,,,,,2481,,,,,,,,,,,,,,,,,,,,,,,LQIT658
Gene Sample,,,,441,,,,,2317,,1,,,,,,,,,,,,,,,,,,,,,LQIT659
Mammoth Sample,,,,441,,,,,2317,,1,,,,,,,,,,,,,,,,,,,,,LQIT660
Blood of Poisoned Mammoth,,,,441,,,,,1589,,1,,,,,,,,,,,,,,,,,,,,,LQIT661
Vulcan's Heart,,,,441,,,,,1769,,1,,,,,,,,,,,,,,,,,,,,,LQIT662
Vulcan Leader's Heart,,,,441,,,,,2128,,1,,,,,,,,,,,,,,,,,,,,,LQIT663
Red Crystal Fragment,,,,441,,,,,1932,,1,,,,,,,,,,,,,,,,,,,,,LQIT664
Blue Crystal Fragment,,,,441,,,,,1929,,1,,,,,,,,,,,,,,,,,,,,,LQIT665
White Crystal Fragment,,,,441,,,,,1933,,1,,,,,,,,,,,,,,,,,,,,,LQIT666
Green Crystal Fragment,,,,441,,,,,1930,,1,,,,,,,,,,,,,,,,,,,,,LQIT667
Rubrum Heart,,,,441,,,,,9672,,,,,,,,,,,,,,,,,,,,,,,LQIT668
Food Supply Box,,,,441,,,,,1753,,,,,,,,,,,,,,,,,,,,,,,LQIT669
Luna Tower Hatch Key,,,,441,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,LQIT670
Purest Water,,,,441,,,,,10033,,,,,,,,,,,,,,,,,,,,,,,LQIT671
Luna Tower Key,,,,441,,,,2409,10027,88,,,,,,,,,,,,,,,,,,,,,,LQIT672
