,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability,Rare Type,Defence,Magic Resistance,Male Hair,Item Set,Dynamic EQ,Female Hair,Trade Key,Expire,NPC,Effect,Prefix,
Ferrell Helmet,CAP\purrel_cap_m_1126_wa.txt,CAP\purrel_cap_f_1126_wa.txt,,122,52430,0,2,50,7781,243,579,,,,100,,,,31,99,114,0,,15,4,,24,6,50,,76,26,2,,,2,,,,,,LCAP148
Santa Disguise Kit Don't Edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,
ET Hat,CAP\cap_ET.txt,CAP\cap_ET.txt,6,123,0,0,2,50,202,235,579,,,,,,,,,,,,,12,50,,24,50,120,,999,999,2,,,2,,,,,,LCAP150
GM Hat,CAP\cap1_04500.txt,CAP\cap2_04500.txt,6,123,0,0,2,50,99,235,579,,,,,,,,,,,,,12,50,,24,50,120,,999,999,2,,,2,,,,,,LCAP151
Santa Hat,CAP\cap1_04300.txt,CAP\cap2_04300.txt,7,123,2000,0,2,18,93,243,579,,,,,,,,,,,,,,,,,,20,,10,10,2,,,2,,,,,,LCAP152
Traditional Korean Hat,CAP\cap1_04600.txt,CAP\cap2_04600.txt,7,123,2000,0,2,20,100,243,579,,,,,,,,,,,,,,,,,,20,,10,10,2,,,0,,,,,,LCAP153
Spring Flower Hat,CAP\cap1_10900.txt,CAP\cap2_10900.txt,7,123,2000,0,2,20,105,243,579,,,,,,,,,,,,,,,,,,20,,10,10,2,,,2,,,,,,LCAP154
Blue Swimming Cap,CAP\cap1_05500.txt,CAP\cap2_05500.txt,7,123,1,0,1,15,106,243,579,,,,,,,,,,,,,,,,,,20,10,7,7,4,,,4,,,,,,LCAP155
Snorkel,CAP\cap1_05600.txt,CAP\cap2_05600.txt,7,123,1800,0,2,20,34,243,579,,,,,,,,,,,,,,,,,,20,10,10,10,0,,,0,,,,,,LCAP156
Summer Beach Hat,CAP\cap1_05700.txt,CAP\cap2_05700.txt,7,123,1800,0,2,20,235,243,579,,,,,,,,,,,,,,,,,,20,10,10,10,2,,,2,,,,,,LCAP157
O Mark,CAP\cap1_11000.txt,CAP\cap2_11000.txt,7,123,1800,0,2,20,19,243,579,,,,,,,,,,,,,,,,,,20,,10,10,4,,,4,,,,,,LCAP158
X Mark,CAP\cap1_11100.txt,CAP\cap2_11100.txt,7,123,1800,0,2,20,20,243,579,,,,,,,,,,,,,,,,,,20,,10,10,4,,,4,,,,,,LCAP159
Golden Crown,CAP\cap1_20200.txt,CAP\cap2_20200.txt,7,123,1800,0,2,20,236,243,579,,,,,,,,,,,,,,,,,,20,,10,10,2,,,2,,,,,,LCAP160
Lucille Party Hat,CAP\cap1_20300.txt,CAP\cap2_20300.txt,7,123,1800,0,2,20,108,243,579,,,,,,,,,,,,,,,,,,20,,10,10,2,,,0,,,,,,LCAP161
GP Cap,CAP\cap1_20400.txt,CAP\cap2_20400.txt,7,123,1800,0,2,20,21,243,579,,,,,,,,,,,,,,,,,,20,,10,10,2,,,2,,,,,,LCAP162
GP Cap,CAP\cap1_20400.txt,CAP\cap2_20410.txt,6,123,1800,0,2,20,21,243,579,,,,,,,,,,,,,,,,,,20,,10,10,2,,,2,,,,,,LCAP162
GP Cap,CAP\cap1_20410.txt,CAP\cap2_20400.txt,6,123,1800,0,2,20,21,243,579,,,,,,,,,,,,,,,,,,20,,10,10,2,,,2,,,,,,LCAP162
Pumpkin Head,CAP\cap1_50000.txt,CAP\cap2_50000.txt,7,123,1800,0,2,20,22,243,579,,,,,,,,,,,,,,,,,,20,,10,10,4,,,4,,,,,,LCAP165
Birthday Cake Hat,CAP\CAP_0166.txt,CAP\CAP_0166.txt,6,123,1000,0,0,10,230,243,579,,,,,,,,,,,,,14,20,,18,10,100,,20,20,2,,,2,,,,,,LCAP166
8th Birthday Cake Hat,CAP\CAP_0166_1.txt,CAP\CAP_0166_1.txt,6,123,1000,0,0,10,203,243,579,,,,,,,,,,,,,14,25,,18,15,100,,25,25,2,,,2,,,,,,LCAP167
White Santa Hat,CAP\cap1_20700.txt,CAP\cap2_20700.txt,7,123,1800,0,2,20,110,243,579,,,,,,,,,,,,,,,,,,20,,10,10,2,,,2,,,,,,LCAP168
Snowboard Goggles,CAP\cap1_20800.txt,CAP\cap2_20800.txt,6,123,1800,0,2,20,112,243,579,,,,,,,,,,,,,,,,,,30,,10,10,2,,,2,,,,,,LCAP169
Fairy Gift Bonnet,CAP\cap1_05300.txt,CAP\cap2_05300.txt,,123,6200,0,3,26,150,235,579,,,,,,,,,,,,,,,,,,7,,26,5,4,,,4,,,,,,LCAP170
Fairy Bless Bonnet,CAP\cap1_05300.txt,CAP\cap2_05300.txt,,123,6200,0,3,26,150,235,579,,,,,,,,,,,,,,,,,,7,,26,5,4,,,4,,,,,,LCAP171
Clan War School Cap,CAP\cap1_07100.txt,CAP\cap2_07100.txt,6,123,1000,0,2,20,74,243,,,,,,,,,,,,,,,,,24,5,8,,27,8,2,,,2,,,,,,LCAP172
Rudolph Cap,CAP\cap1_22000.txt,CAP\cap2_22000.txt,7,123,2000,0,2,18,57,243,579,,,,,,,,,,,,,,,,,,30,,10,10,4,,,4,,,,,,LCAP173
Cheerful Rudolph Cap,CAP\cap1_22000.txt,CAP\cap2_22000.txt,6,123,200,0,2,18,7319,243,579,,,,,,,,,,,,,,,,,,30,,10,10,4,,,4,,,,,,LCAP174
9th Birthday Cake Hat,CAP\CAP_0166_2.txt,CAP\CAP_0166_2.txt,6,123,1000,0,0,10,204,243,579,,,,,,,,,,,,,14,25,,18,15,100,,25,25,2,,,2,,,,,,LCAP175
Red Swimming Cap,CAP\cap1_50200.txt,CAP\cap1_50200.txt,7,123,1,0,1,15,73,243,579,,,,,,,,,,,,,,,,,,20,10,7,7,4,,,4,,,,,,LCAP176
Green Swimming Cap,CAP\cap1_50300.txt,CAP\cap1_50300.txt,7,123,1,0,1,15,72,243,579,,,,,,,,,,,,,,,,,,20,10,7,7,4,,,4,,,,,,LCAP177
Yellow Swimming Cap,CAP\cap1_50400.txt,CAP\cap1_50400.txt,7,123,1,0,1,15,71,243,579,,,,,,,,,,,,,,,,,,20,10,7,7,4,,,4,,,,,,LCAP178
Christmas Cheer Hat,CAP\cap1_cristmas2010.txt,CAP\cap2_cristmas2010.txt,6,123,0,0,0,50,4500,243,579,,,,,,,,,,,,,,,,,,20,,25,30,2,,,2,,,,,,LCAP179
Green Magic School Hat,,,,123,24300,0,2,22,228,243,,,,,140,,,,31,104,,,,20,25,,,,58,5,30,19,2,,,2,,,,,,LCAP180
Yellow Magic School Hat,,,,123,24300,0,2,22,229,243,,,,,140,,,,31,104,,,,20,25,,,,58,5,30,19,2,,,2,,,,,,LCAP181
Red Magic School Hat,,,,123,24300,0,2,22,226,243,,,,,140,,,,31,104,,,,20,25,,,,58,5,30,19,2,,,2,,,,,,LCAP182
Blue Magic School Hat,,,,123,24300,0,2,22,227,243,,,,,140,,,,31,104,,,,20,25,,,,58,5,30,19,2,,,2,,,,,,LCAP183
10th Birthday Cake Hat,CAP\CAP_0166_10.txt,CAP\CAP_0166_10.txt,6,123,1000,0,0,10,205,243,579,,,,,,,,,,,,,14,25,,18,15,100,,25,25,2,,,2,,,,,,LCAP184
11th Birthday Cake Hat,CAP\CAP_0166_11.txt,CAP\CAP_0166_11.txt,6,123,1000,0,0,10,206,243,579,,,,,,,,,,,,,14,25,,18,15,100,,25,25,2,,,2,,,,,,LCAP185
Birthday Cake Hat,,,6,123,1000,0,0,10,230,243,579,,,,,,,,,,,,,14,25,,,,75,,5,5,2,,,2,,,,701,,LCAP186
Senior Magic School Hat,,,,123,3000,0,2,22,2455,243,,,,,,,,,31,120,114,50,,20,29,,,,60,,34,23,2,,,2,,,,,,LCAP187
Conjurer's Hat,,,,122,1000,0,1,55,9366,235,579,,,,136,42,,,,,,,,14,8,,62,10,70,5,40,7,2,19,,2,,,,,,LCAP188
Clown Cap,,,,123,9800,0,2,50,5358,239,579,,,,,,,,31,45,,,,38,63,,,,55,,13,22,2,,,2,,,,,,LCAP189
Akram Kingdom Crown,,,,123,100000,0,2,50,5309,239,579,,,,,,,,,,,,,,,,,,75,,10,10,2,,,2,,,,,,LCAP190
(new) Akram Crown,,,,123,100000,0,2,50,5308,239,579,,,,,,,,,,,,,,,,,,75,,10,10,2,,,2,,,,,,LCAP191
Black Magic School Hat,,,6,123,0,0,2,22,8426,243,,,,,,,,,,,,,,,,,,,30,,12,10,2,,,2,,,,,,LCAP192
Orange Magic School Hat,,,6,123,0,0,2,22,8427,243,,,,,,,,,,,,,,,,,,,30,,12,10,2,,,2,,,,,,LCAP193
Purple Magic School Hat,,,6,123,0,0,2,22,8428,243,,,,,,,,,,,,,,,,,,,30,,12,10,2,,,2,,,,,,LCAP194
Earth Hat,,,6,123,0,0,0,10,8487,243,579,,,,,,,,,,,,,,,,,,75,,10,10,4,,,4,,,,,,LCAP195
Star Hat,,,6,123,0,0,0,10,2445,243,579,,,,,,,,,,,,,,,,,,75,,1,1,4,,,4,,,,,,LCAP196
Reaper Head,,,6,123,1000,0,2,20,2888,243,579,,,,,,,,,,,,,,,,,,30,,10,10,4,,,4,,,,,,LCAP197
Lunar Keeper Head,,,6,123,1000,0,2,20,2889,243,579,,,,,,,,,,,,,,,,,,30,,10,10,4,,,4,,,,,,LCAP198
Pavrick's Helm,,,6,123,49650,0,3,44,10023,243,579,,,,,,,,31,100,,,,20,20,,,,43,,28,9,2,,,2,,,,,,LCAP199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False Scalp,CAP\cap_00900.txt,CAP\cap_00900.txt,7,124,2850,0,3,50,234,247,579,,,,10,,,,,,,,,12,7,,,,33,,4,4,4,,,4,,,,,,LCAP201
????????-????02,,,,124,6200,0,3,50,,247,579,,,141,15,,,,,,,,,,,,,,33,,9,8,,,,,,,,,,
????????-????03,,,,124,6200,0,3,50,,247,579,,,141,15,,,,,,,,,,,,,,33,,9,8,,,,,,,,,,
????????-????04,,,,124,8750,0,3,50,,247,579,,,141,20,,,,,,,,,,,,,,34,,11,10,,,,,,,,,,
Seasonal Kingdom Crown,,,6,123,1000,0,2,50,5309,239,579,,,,,,,,,,,,,,,,,,75,,10,10,2,,,2,,,,,,LCAP205
????????-????06,,,,124,15050,0,3,50,,247,579,,,141,30,,,,,,,,,,,,,,34,,15,14,,,,,,,,,,
????????-????07,,,,124,18950,0,3,50,,247,579,,,141,30,,,,,,,,,,,,,,35,,17,16,,,,,,,,,,
????????-????08,,,,124,24650,0,3,50,,247,579,,,141,35,,,,,,,,,,,,,,35,,20,18,,,,,,,,,,
????????-????09,,,,124,29600,0,3,50,,247,579,,,141,35,,,,,,,,,,,,,,36,,22,20,,,,,,,,,,
????????-????10,,,,124,34800,0,3,50,,247,579,,,141,40,,,,,,,,,,,,,,36,,24,22,,,,,,,,,,
????????-????11,,,,124,40500,0,3,50,,247,579,,,141,45,,,,,,,,,,,,,,36,,26,24,,,,,,,,,,
????????-????12,,,,124,46550,0,3,50,,247,579,,,141,50,,,,,,,,,,,,,,36,,28,26,,,,,,,,,,
????????-????13,,,,124,55600,0,3,50,,247,579,,,141,55,,,,,,,,,,,,,,37,,31,28,,,,,,,,,,
????????-????14,,,,124,62750,0,3,50,,247,579,,,141,60,,,,,,,,,,,,,,37,,33,30,,,,,,,,,,
????????-????15,,,,124,70700,0,3,50,,247,579,,,141,60,,,,,,,,,,,,,,38,,35,32,,,,,,,,,,
????????-????16,,,,124,78700,0,3,50,,247,579,,,141,65,,,,,,,,,,,,,,38,,37,34,,,,,,,,,,
????????-????17,,,,124,87150,0,3,50,,247,579,,,141,70,,,,,,,,,,,,,,38,,39,36,,,,,,,,,,
????????-????18,,,,124,99600,0,3,50,,247,579,,,141,75,,,,,,,,,,,,,,39,,42,38,,,,,,,,,,
????????-????19,,,,124,109100,0,3,50,,247,579,,,141,80,,,,,,,,,,,,,,39,,44,40,,,,,,,,,,
????????-????20,,,,124,119050,,3,50,,247,579,,,141,85,,,,,,,,,,,,,,39,,46,42,,,,,,,,,,
Tulip Ribbon ,CAP\cap_01300.txt,CAP\cap_01300.txt,,124,0,0,1,10,247,247,579,,,,,,,,,,,,,,,,,,32,,1,1,0,,,0,,,,,,LCAP221
Peacock Feather,CAP\cap_01200.txt,CAP\cap_01200.txt,,124,0,0,1,10,248,247,579,,,,,,,,,,,,,,,,,,32,,1,1,0,,,0,,,,,,LCAP222
????????-????05,,,,124,5050,0,1,59,,247,579,,,141,25,,,,,,,,,,,,,,32,,1,12,,,,,,,,,,
????????-????05,,,,124,5050,0,1,59,,247,579,,,141,25,,,,,,,,,,,,,,32,,1,12,,,,,,,,,,
Black Ribbon,CAP\cap1_F08600.txt,CAP\cap2_F08600.txt,6,124,1000,0,1,10,8361,247,579,,,,,,,,,,,,,,,,,,32,,1,1,0,,,0,,,,,,LCAP225
Blue Ribbon,CAP\cap1_F08600.txt,CAP\cap2_F08600.txt,6,124,1000,0,1,10,8362,247,579,,,,,,,,,,,,,,,,,,32,,1,1,0,,,0,,,,,,LCAP226
Purple Ribbon,CAP\cap1_F08600.txt,CAP\cap2_F08600.txt,6,124,1000,0,1,10,8363,247,579,,,,,,,,,,,,,,,,,,32,,1,1,0,,,0,,,,,,LCAP227
Orange Ribbon,CAP\cap1_F08600.txt,CAP\cap2_F08600.txt,6,124,1000,0,1,10,8364,247,579,,,,,,,,,,,,,,,,,,32,,1,1,0,,,0,,,,,,LCAP228
Pink Ribbon,CAP\cap1_F08600.txt,CAP\cap2_F08600.txt,6,124,1000,0,1,10,8365,247,579,,,,,,,,,,,,,,,,,,32,,1,1,0,,,0,,,,,,LCAP229
Knitted Cat Cap,,,6,123,0,0,2,25,3043,243,579,,,,,,,,,,,,,,,,,,50,,10,10,2,,,2,,,,,,LCAP230
White Tulip Ribbon ,,,,124,0,0,1,10,9490,247,579,,,,,,,,,,,,,,,,,,32,,1,1,0,,,0,,,,,,LCAP231
Blue Tulip Ribbon ,,,,124,0,0,1,10,9491,247,579,,,,,,,,,,,,,,,,,,32,,1,1,0,,,0,,,,,,LCAP232
Black Peacock Feather,,,,124,0,0,1,10,9492,247,579,,,,,,,,,,,,,,,,,,32,,1,1,0,,,0,,,,,,LCAP233
Blue Peacock Feather,,,,124,0,0,1,10,9493,247,579,,,,,,,,,,,,,,,,,,32,,1,1,0,,,0,,,,,,LCAP234
????????-????15,,,,124,36850,0,1,77,,247,579,,,141,60,,,,,,,,,,,,,,32,,1,32,,,,,,,,,,
????????-????16,,,,124,42450,0,1,79,,247,579,,,141,65,,,,,,,,,,,,,,32,,1,34,,,,,,,,,,
????????-????17,,,,124,48600,0,1,81,,247,579,,,141,70,,,,,,,,,,,,,,32,,1,36,,,,,,,,,,
????????-????18,,,,124,54500,0,1,82,,247,579,,,141,75,,,,,,,,,,,,,,32,,1,38,,,,,,,,,,
????????-????19,,,,124,61750,0,1,84,,247,579,,,141,80,,,,,,,,,,,,,,32,,1,40,,,,,,,,,,
Leprechaun Hat,CAP\leprechaun.txt,CAP\leprechaun.txt,6,123,1550,0,1,50,3430,247,579,,,,,,,,,,,,,24,10,,,,75,,35,25,2,,,2,,,,,,LCAP240
Royal Crown,CAP\cap_01100.txt,CAP\cap_01100.txt,,124,11250,0,4,52,253,247,579,19,2,151,20,,,,14,30,,,,13,10,,,,35,,4,1,3,,,3,,,,,,LCAP241
????????-????02,,,,124,2550,0,5,54,,247,579,,,141,15,,,,,,,,,,,,,,33,,6,1,,,,,,,,,,
????????-????03,,,,124,4700,0,5,55,,247,579,,,141,15,,,,,,,,,,,,,,33,,9,1,,,,,,,,,,
????????-????04,,,,124,6800,0,5,57,,247,579,,,141,20,,,,,,,,,,,,,,34,,11,1,,,,,,,,,,
Hair Wax,CAP\CAP_hairWax.txt,CAP\CAP_hairWax.txt,7,124,0,0,1,0,4761,239,579,,,,,,,,,,,,,,,,,,30,0,12,10,4,,,4,,,,,,LCAP245
Blue Aqua Headgear,CAP\CAP1_mjag.txt,CAP\CAP2_mjag.txt,7,123,0,0,3,0,4762,239,579,,,,,,,,,,,,,,,,,,30,0,12,10,4,,,4,,,,,,LCAP246
Moldie Headgear,CAP\CAP1_mjM_b.txt,CAP\CAP2_mjM_b.txt,7,123,0,0,3,0,4763,239,579,,,,,,,,,,,,,,,,,,30,0,12,10,4,,,4,,,,,,LCAP247
Rackie Headgear,CAP\CAP1_mjR.txt,CAP\CAP2_mjR.txt,7,123,0,0,3,0,4764,239,579,,,,,,,,,,,,,,,,,,30,0,12,10,4,,,4,,,,,,LCAP248
Woopie Chef Headgear,CAP\CAP1_mjw.txt,CAP\CAP2_mjw.txt,7,123,0,0,3,0,4765,239,579,,,,,,,,,,,,,,,,,,30,0,12,10,4,,,4,,,,,,LCAP249
Aqua King Headgear,CAP\CAP1_mjag_g.txt,CAP\CAP2_mjag_g.txt,7,123,0,0,3,0,4766,239,579,,,,,,,,,,,,,,,,,,30,0,12,10,4,,,4,,,,,,LCAP250
Manager Moldie Headgear,CAP\CAP1_mjM_g.txt,CAP\CAP2_mjM_g.txt,7,123,0,0,3,0,4767,239,579,,,,,,,,,,,,,,,,,,30,0,12,10,4,,,4,,,,,,LCAP251
Vagabond Rackie Headgear,CAP\CAP1_mjR_a.txt,CAP\CAP2_mjR_a.txt,7,123,0,0,3,0,4768,239,579,,,,,,,,,,,,,,,,,,30,0,12,10,4,,,4,,,,,,LCAP252
Woopie King Headgear,CAP\CAP1_mjw_g.txt,CAP\CAP2_mjw_g.txt,7,123,0,0,3,0,4769,239,579,,,,,,,,,,,,,,,,,,30,0,12,10,4,,,4,,,,,,LCAP253
Elite Pomic Soldier Helmet,CAP\CAP1_mjA.txt,CAP\CAP2_mjA.txt,7,123,0,0,3,0,4771,239,579,,,,,,,,,,,,,,,,,,100,-30,0,0,4,,,4,,,,,,LCAP254
Candle Ghost Hood,CAP\CAP1_mjG.txt,CAP\CAP2_mjG.txt,7,123,0,0,2,0,4772,239,579,,,,,,,,,,,,,,,,,,100,-30,0,0,4,,,4,,,,,,LCAP255
Queen Bibi Crowned Head,CAP\CAP1_mjQB.txt,CAP\CAP2_mjQB.txt,7,123,0,0,3,0,4773,239,579,,,,,,,,,,,,,,,,,,100,-30,0,0,4,,,4,,,,,,LCAP256
????????-????17,,,,124,100200,0,5,81,,247,579,,,141,70,,,,,,,,,,,,,,38,,39,1,,,,,,,,,,
????????-????18,,,,124,117600,0,5,82,,247,579,,,141,75,,,,,,,,,,,,,,39,,42,1,,,,,,,,,,
????????-????19,,,,124,132250,0,5,84,,247,579,,,141,80,,,,,,,,,,,,,,39,,44,1,,,,,,,,,,
????????-????20,,,,124,148050,0,5,86,,247,579,,,141,85,,,,,,,,,,,,,,39,,46,1,,,,,,,,,,
Devil Head,CAP\cap1_devil.txt,CAP\cap2_devil.txt,6,123,1000,0,2,20,3804,243,579,,,,,,,,,,,,,,,,,,25,0,10,10,0,,,0,,,,,,LCAP261
Frankenhead,CAP\CAP1_frankenstien.txt,CAP\cap2_frankenstien.txt,6,123,1000,0,2,20,3805,243,579,,,,,,,,,,,,,,,,,,25,0,10,10,4,,,4,,,,,,LCAP262
????????-????03,,,,124,0,0,2,0,,247,,,,141,15,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
????????-????04,,,,124,0,0,2,0,,247,,,,141,20,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
????????-????05,,,,124,0,0,2,0,,247,,,,141,25,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
Wicked Headpiece,CAP\cap1_warlock.txt,CAP\CAP2_witch.txt,6,123,1000,0,2,20,3806,243,579,,,,,,,,,,,,,,,,,,25,0,10,10,4,,,4,,,,,,LCAP266
Storybook Headpiece,CAP\CAP1_Halloween2010_01.txt,CAP\cap2_Halloween2010_01.txt,6,123,0,0,2,20,4301,243,579,,,,,,,,,,,,,,,,,,100,0,10,10,4,,,4,,,,,,LCAP267
Tea Party Headgear,CAP\CAP1_Halloween2010_02.txt,CAP\cap2_Halloween2010_02.txt,6,123,0,0,2,20,4284,243,579,,,,,,,,,,,,,,,,,,100,0,10,10,4,,,4,,,,,,LCAP268
Fable Headgear,CAP\CAP1_Halloween2010_03.txt,CAP\cap2_Halloween2010_03.txt,6,123,0,0,2,20,4285,243,579,,,,,,,,,,,,,,,,,,100,0,10,10,4,,,4,,,,,,LCAP269
Blue Snowboard Hat,CAP\cap_20800b.txt,CAP\cap_20800b.txt,,123,0,0,2,20,4286,243,579,,,,,,,,,,,,,38,300,,28,10,100,0,25,15,4,,,4,,,,,,LCAP270
Purple Snowboard Hat,CAP\cap_20800p.txt,CAP\cap_20800p.txt,,123,0,0,2,20,4287,243,579,,,,,,,,,,,,,38,300,,28,10,100,0,25,15,4,,,4,,,,,,LCAP271
????????-????12,,,,124,0,0,2,0,,247,,,,141,50,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
????????-????13,,,,124,0,0,2,0,,247,,,,141,55,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
????????-????14,,,,124,0,0,2,0,,247,,,,141,60,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
????????-????15,,,,124,0,0,2,0,,247,,,,141,60,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
????????-????16,,,,124,0,0,2,0,,247,,,,141,65,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
????????-????17,,,,124,0,0,2,0,,247,,,,141,70,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
????????-????18,,,,124,0,0,2,0,,247,,,,141,75,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
????????-????19,,,,124,0,0,2,0,,247,,,,141,80,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
????????-????20,,,,124,0,0,2,0,,247,,,,141,85,,,,,,,,,,,,,,32,,0,0,,,,,,,,,,
Transparent Hat,CAP\Transparent_Hat.txt,CAP\Transparent_Hat.txt,,123,100000,,1,10,5081,247,579,,,,,,,,,,,,,,,,,,30,,0,0,0,,,0,,,,,,LCAP281
Beige Gothic Lolita Hat,,,6,123,0,0,2,22,3957,243,,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP282
Pink Gothic Lolita Hat,,,6,123,0,0,2,22,3958,243,,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP283
Black Gothic Lolita Hat,,,6,123,0,0,2,22,3959,243,,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP284
,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????????? ????,CAP\cap_01200.txt,CAP\cap_01200.txt,0,124,0,0,1,54,248,247,579,,1,141,15,,,,,,,,,,,,,,40,,0,0,0,,,0,,,,,,LCAP290
???????? ????,CAP\cap_01200.txt,CAP\cap_01200.txt,0,124,0,0,1,54,248,247,579,,1,141,15,,,,,,,,,,,,,,40,,0,0,0,,,0,,,,,,LCAP291
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue GM Cop Hat,CAP\gmCopCAP_0010.txt,CAP\gmCopCAP_0010.txt,6,123,650,0,3,14,232,243,579,,,,,,,,,,,,,12,70,,20,2000,120,,5000,5000,2,,,2,,,,,,LCAP294
Black GM Cop Hat,CAP\gmCopCAP_0010.txt,CAP\gmCopCAP_0010.txt,6,123,650,0,3,14,231,243,579,,,,,,,,,,,,,12,70,,20,2000,120,,5000,5000,2,,,2,,,,,,LCAP295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islamic Bandana,CAP\cap_01000.txt,CAP\cap_01000.txt,,123,1100,0,3,22,81,243,579,,,,,0,,,31,9,,,,20,1,,0,0,37,,9,5,4,,,4,,,,,4,LCAP005
Red Beret,CAP\cap_00100.txt,CAP\cap_00100.txt,,123,1450,0,3,20,82,243,579,,,,,0,,,31,9,,,,20,2,,0,0,34,,9,6,2,,,2,,,,,2,LCAP006
Red Beret,CAP\cap_00100.txt,CAP\cap_00100.txt,,123,1450,0,3,23,82,243,579,,,,,0,,,31,12,,,,20,2,,0,0,37,,10,6,2,,,2,,,,,4,LCAP006
Red Leather Beret,CAP\cap_00100.txt,CAP\cap_00100.txt,,123,2100,0,3,21,83,243,579,,,,,0,,,31,13,,,,20,3,,0,0,33,,9,6,2,,,2,,,,,2,LCAP007
Red Leather Beret,CAP\cap_00100.txt,CAP\cap_00100.txt,,123,2100,0,3,24,83,243,579,,,,,0,,,31,16,,,,20,3,,0,0,37,,10,6,2,,,2,,,,,3,LCAP007
Red Leather Beret,CAP\cap_00100.txt,CAP\cap_00100.txt,,123,2100,0,3,26,83,243,579,,,,,0,,,31,18,,,,20,3,,0,0,39,,11,7,2,,,2,,,,,4,LCAP007
Rodeo Hat,CAP\cap_004.txt,CAP\cap_004.txt,,123,2850,0,3,24,84,243,579,,,,,0,,,31,19,,,,20,4,,0,0,35,,11,6,1,,,1,,,,,2,LCAP008
Rodeo Hat,CAP\cap_004.txt,CAP\cap_004.txt,,123,2850,0,3,26,84,243,579,,,,,0,,,31,21,,,,20,4,,0,0,37,,12,6,1,,,1,,,,,3,LCAP008
Rodeo Hat,CAP\cap_004.txt,CAP\cap_004.txt,,123,2850,0,3,28,84,243,579,,,,,0,,,31,23,,,,20,4,,0,0,39,,12,7,1,,,1,,,,,4,LCAP008
Luxurious Rodeo Hat,CAP\cap_004.txt,CAP\cap_004.txt,,123,3750,0,3,26,85,243,579,,,,,0,,,31,24,,,,20,5,,0,0,35,,11,7,1,,,1,,,,,2,LCAP009
Luxurious Rodeo Hat,CAP\cap_004.txt,CAP\cap_004.txt,,123,3750,0,3,28,85,243,579,,,,,0,,,31,26,,,,20,5,,0,0,38,,12,8,1,,,1,,,,,3,LCAP009
Luxurious Rodeo Hat,CAP\cap_004.txt,CAP\cap_004.txt,,123,3750,0,3,30,85,243,579,,,,,0,,,31,28,,,,20,5,,0,0,40,,13,8,1,,,1,,,,,4,LCAP009
Joker Jester,CAP\cap_00500.txt,CAP\cap_00500.txt,,123,4750,0,3,26,86,243,579,,,,,0,,,31,28,,,,20,6,,0,0,35,,12,7,2,,,2,,,,,2,LCAP010
Joker Jester,CAP\cap_00500.txt,CAP\cap_00500.txt,,123,4750,0,3,29,86,243,579,,,,,0,,,31,31,,,,20,6,,0,0,38,,13,8,2,,,2,,,,,3,LCAP010
Joker Jester,CAP\cap_00500.txt,CAP\cap_00500.txt,,123,4750,0,3,31,86,243,579,,,,,0,,,31,33,,,,20,6,,0,0,40,,14,8,2,,,2,,,,,4,LCAP010
Luxurious Joker Jester,CAP\cap_00500.txt,CAP\cap_00500.txt,,123,6200,0,3,29,87,243,579,,,,,0,,,31,34,,,,20,7,,0,0,36,,14,8,2,,,2,,,,,2,LCAP011
