,,,12:????,,,,,10:????,,,11:????,,,01~06:??????,,,08~09:????,,07:??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crack,12176,,12176,10151,,12172,10171,,10161,12172,12196,12172,12196,12172,12176,12172,12176,12196,12172,,10412,12172,10412,7084,,1,3,2,2,4,4007,8401,8331,8331,8162,8401,4031,5061,2091,3121,8004,8102,8162,8332,9061,8004,8102,8302,8033,8302
Crack Fighter,12176,12172,10151,12176,,10171,12176,,12176,12172,12176,12172,12196,12172,12176,12196,12176,,12172,,10412,12172,10412,,,1,3,2,2,4,8402,8331,8162,8162,8401,8032,5031,2061,3091,4121,8004,8162,8331,8102,9062,8402,8131,8232,8131,8332
?????? ????,,12187,,12185,10102,12187,10151,10001,12185,12187,12185,12187,12185,12187,12185,12187,12185,,12187,,10413,12187,10413,,,1,3,2,2,4,8033,7086,8004,8162,8331,8331,2031,3061,4091,5121,8102,8004,8203,8232,9002,8332,8163,8402,8302,8163
???? ????,,12187,10171,12185,,10161,12185,10002,12185,10151,12185,12187,12185,12187,12185,12187,12185,,12187,,10413,12187,10413,7089,,1,3,2,2,4,8004,8102,8102,8331,8004,8162,3031,4061,5091,2121,8302,8402,8033,8131,9062,8402,8033,8131,8232,8131
?????? ????,12185,,12185,10171,,12187,12185,10161,12185,12187,12185,10151,12185,12187,12185,12187,12185,,12187,,10413,12188,10413,,,1,3,2,2,4,8102,5091,8302,8302,8402,8004,4031,5061,2091,3121,8332,8163,8402,8302,9003,8203,8232,8302,8402,8302
???? ????,10103,,10171,12185,,12187,12185,,10161,10151,12185,12187,12185,12187,12185,12187,12185,,12187,,10413,12187,10413,,,1,3,2,2,4,8004,8102,8232,8131,8033,8102,2031,3061,4091,5121,8203,8232,8302,8402,9063,8302,8102,8004,8203,8232
???? ????,12185,12187,12185,10161,,10151,12185,,10171,12187,12185,12187,12185,12187,12185,12187,12185,,12187,,,12187,,,,1,3,2,2,4,8203,8004,8033,8163,8163,8203,3031,4061,5091,2121,8033,8131,8332,8163,9003,8163,8332,8131,8102,8004
????,,12185,12185,10171,,12186,10161,10021,12185,10151,12185,12186,12185,12186,12185,12186,12185,,12186,10414,12186,12186,10414,,,1,2,2,3,3,8003,8032,4202,3202,5202,8301,2006,3006,4006,5006,8003,8101,8202,8231,9061,,,,,
?????? ????,12185,,10151,12185,,12186,12185,10022,10161,12186,12185,10171,12185,12186,12185,12186,12185,,12186,10414,12186,12186,10414,,,1,2,2,3,3,8301,8331,3203,5203,4203,8401,2007,3007,4007,5007,8331,8032,8401,8301,9001,,,,,
?????? ????,12185,12186,,10161,,12186,10171,,12185,12186,10151,12186,12185,12186,12185,12186,12185,,12186,10414,12188,12188,10414,,,1,2,3,3,3,8331,8401,8331,8162,8032,8032,2007,3007,4007,5007,8162,8331,8032,8401,9001,,,,,
????,12187,12191,10171,12187,,10163,12187,,12187,10152,12187,12191,12187,12191,12187,12191,12187,12191,7251,12191,10415,12191,10415,,,1,2,3,3,4,8301,8331,8163,8131,8332,8333,2032,3062,4092,5122,8034,8132,8261,8333,9004,8131,8333,8431,8531,8761
???? ????,12187,12191,,10162,,10171,12187,10004,12187,,10151,12191,12187,12191,12187,12191,12187,12191,12191,7261,10415,12191,10415,,,1,2,3,3,4,1038,3122,8233,8103,8204,8431,3032,4062,5092,2122,8431,8164,8403,8303,9064,8701,2407,3407,4507,5607
???? ????,12187,,10151,12187,,10162,12187,10024,12187,10171,12187,12191,12187,12191,12187,12191,12187,12191,7271,,10415,12191,10415,,,1,2,3,3,4,1038,3092,8303,8403,8034,8164,8132,8261,8333,8431,4032,5062,2092,3122,9004,8132,8261,8333,8501,8791
???? ????,,10172,12187,12187,,12191,10152,,12187,12191,10162,12191,12187,12191,12187,12191,12187,12191,7251,12191,10415,12189,12191,10309,,1,2,3,3,4,2092,3122,8261,8164,8104,8006,8006,8104,8205,8234,5032,2062,3092,4122,9064,8006,8104,8205,8671,8531
Krawfy,,12191,10154,12192,,10164,12192,,10171,12191,12192,12191,12192,12191,12192,12191,12192,12191,12191,7261,10416,12191,12191,,,1,3,2,2,4,2033,3063,8434,8167,8264,8166,2033,3063,4093,5123,8008,8207,8306,8037,9007,8534,8643,8732,8852,8764
Krawfy Warrior,12192,12178,12192,10171,,12191,10154,10005,12192,10165,12192,12191,12192,12191,12192,12191,12192,12191,12191,,7271,12191,12191,,,1,3,2,2,4,1011,4617,8406,8037,8167,8062,3033,4063,5093,2123,8106,8406,8037,8264,9067,8434,8167,8063,8582,8674
Krawfy Captain,12192,12191,10172,12192,12178,12191,12192,10025,10164,12191,10154,12191,12192,12191,12192,12191,8001266,8001267,7261,,10416,12189,,,1,2,3,3,4,12151,3093,8236,8135,8264,8009,8008,4033,5063,2093,3123,8009,8107,8208,8237,9007,8064,2419,3419,4519,5619
???? ????,,12178,12187,10171,12178,12191,10151,12178,12187,10161,12187,12191,12187,12191,12187,12191,12187,12191,12191,,10417,12191,12191,,,1,2,2,3,3,2007,8401,8202,8101,8003,8162,2007,3007,4007,5007,8162,8331,8032,8301,9001,,,,,
????,12187,12191,10162,12187,,10171,12187,,10152,12191,12187,12191,12187,12191,12187,12191,12187,12191,12191,7251,10417,12191,12191,7084,,1,3,2,2,4,4092,3122,8332,8033,8163,8403,2032,3062,4092,5122,8332,8163,8005,8103,9003,8034,8132,8261,8531,8501
???? ????,12187,12191,12187,10171,,12191,10163,10004,12187,10153,12187,12191,12187,12191,12187,12191,12187,12191,7261,,10417,12189,12189,,,1,3,2,2,3,2512,3092,8163,8204,8303,8034,3032,4062,5510,2122,8204,8233,8303,8403,9003,8501,2512,,,
??????,12186,10163,12186,12186,,10152,12186,10004,12186,12191,10171,12191,12186,12191,12186,12191,12186,12191,7271,,10418,12191,12186,10310,,1,3,2,2,4,3062,4122,8103,8164,8431,8431,4032,5062,2092,3122,8164,8006,8104,8205,9004,8334,8432,8262,8611,8701
?????? ??????,,12191,10171,12186,,10163,12186,,10153,12191,12186,12191,12186,12191,12186,12191,12186,12191,7261,12191,10418,12191,12186,10307,,1,3,2,2,4,8006,8133,8333,8204,8006,8164,5032,2062,3092,4122,8234,8304,8404,8035,9064,8006,8104,8205,8791,8612
?????? ??????,,12191,12186,10153,,12191,10171,,12186,12191,10163,12191,12186,12191,12186,12191,12186,12191,12191,,7251,12191,12186,10308,,1,3,2,2,4,1011,8165,8431,8261,8234,8006,3032,4062,5092,2122,8133,8262,8334,8432,9064,8304,8404,8133,8641,8672
?????? ????,,,10164,12186,,10172,12186,10025,12186,10154,12186,12191,12186,12191,12186,12191,12186,12191,12191,7251,10419,12189,7151,10301,,1,3,2,2,4,3063,4093,8007,8036,8433,8061,8007,8105,8206,8235,3033,4063,5093,2123,9005,8036,8134,8263,8502,8763
?????? ????,12186,10172,12186,12186,,10164,12186,10025,10164,12191,12196,12191,12196,12191,12196,12191,12196,12191,7261,12196,10419,12189,7152,,1,2,3,3,4,12152,4063,5093,8036,8134,8263,8165,8305,8405,8036,8134,4033,5063,2093,3123,9005,8036,2417,3417,4517,5617
??????,10171,,12191,10165,,12192,12191,,12191,10155,12191,12192,12191,12192,12191,12192,12191,,12192,7271,10420,12192,12192,7086,,1,3,2,2,4,4123,8434,8105,8206,8405,8007,2033,3063,4093,5123,8134,8263,8335,8433,9065,8008,8106,8236,8822,8613
?????? ????,12191,10171,12191,12191,10164,,12191,10026,10155,12192,12191,12192,12191,12192,12191,12192,12191,,12192,,7261,12192,12192,,,1,3,2,2,4,5123,8106,8433,8008,8306,8008,2013,3013,4013,5013,8062,8008,8106,8207,9006,8008,2415,3418,4518,5618
?????? ??????,12191,12192,10171,12191,,12192,10155,10026,12191,10165,12191,12192,12191,12192,12191,12192,12191,,12192,7251,10420,12189,12189,7088,,1,3,2,2,4,3093,8037,8236,8135,8037,8106,4033,5063,2093,3123,8236,8306,8406,8037,6206,8135,8037,8336,8764,8582
?????? ??????,10171,,12191,12191,,10164,12191,10005,10155,12192,12191,12192,12191,12192,12191,12192,12191,,7261,12192,,12192,12192,7089,,1,2,3,3,4,1007,8236,8135,8336,8434,8207,5033,2063,3093,4123,8135,8264,8336,8434,9006,8062,2618,3617,4314,5414
?????? ????,12191,10171,,10165,,12192,12191,10006,12191,10155,12191,12192,12191,12192,12191,12192,12191,,12192,7251,,12192,12192,,,1,2,3,3,4,8009,8264,8434,8167,8063,8062,2033,3063,4093,5123,8167,8063,8406,8306,9066,8264,8336,8434,8853,8794
Doonga,,12188,10171,12187,,12188,10164,,10155,12188,12187,12188,12187,12188,12187,8001266,8001267,,12188,,7271,12188,12187,10301,,1,3,2,2,4,1008,3063,8105,8206,8235,8008,3033,4063,5093,2123,8134,8263,8335,8433,9065,8433,8166,8062,8731,8613
Elder Doonga,12187,,12187,10171,,10155,12187,,12187,10165,12187,12188,12187,12188,12187,12188,12187,,12188,7261,10421,12188,12187,10301,,1,2,3,3,4,2123,3033,8405,8305,8007,8106,4033,5063,2093,3123,8166,8062,8008,8106,6208,8236,8008,8106,8673,8731
Doonga Origin,12187,10171,12187,12187,,12188,12187,,12187,12188,12187,12188,12187,12188,12187,12188,12187,12188,7271,12188,10423,12189,12162,7160,,1,3,2,2,4,8135,8264,8167,8208,8009,8207,5033,2063,3093,4123,8167,8063,8009,8107,9006,8009,5319,4419,3518,2719
Doonga Fighter,,12188,12187,10171,,12188,12187,,12187,12188,12187,12188,12187,12188,12187,12188,12187,12188,12188,7271,10422,12188,,,,1,3,2,2,4,7160,8008,8008,8207,8306,8236,3033,4063,5093,2123,8037,8135,8306,8434,6206,8107,2715,3315,4415,5515
Doonga Warrior,12187,,10171,12187,,12188,12187,,12187,12188,12187,12188,12187,12188,12187,12188,12187,12188,7261,,10422,12188,12187,10301,,1,2,3,3,4,8207,8037,8135,8406,8434,8306,4033,5063,2093,3123,8063,8167,8434,8336,6208,8434,8167,8063,8582,8503
Doonga Hunter,12187,,12187,12187,,12188,10171,10010,12187,12188,12187,12188,12187,12188,12187,12188,12187,12188,7261,12188,,12188,12187,10312,,1,2,3,3,4,8236,8406,8434,8336,8207,8406,8135,8037,8406,8306,4033,5063,2093,3123,9066,8037,2615,3418,4318,5618
Doonga Leader,12187,12188,,12187,,12188,12187,10011,12187,12188,10172,12188,12187,12188,12187,12188,12187,12188,12188,7251,10423,12189,10313,,,1,2,3,3,4,8107,8435,8336,8264,8135,8009,8038,8136,8265,8168,2034,3064,4094,5124,6245,8038,8337,8265,8824,8795
Doonga Captain,,12188,10172,12187,,12188,12187,10012,12187,12188,12187,12188,12187,12188,12187,12188,12187,12188,12188,,7261,12189,12189,10314,1,2,3,3,4,12153,4124,5034,8063,8107,8407,8237,8064,8407,8307,8009,3034,4064,5094,2124,9007,8337,8435,8168,8675,8705
Master Doonga,12187,,12187,10171,,12188,12187,10013,12187,12188,12187,12188,12187,12188,12187,12188,12187,12188,12188,7271,10423,12189,12187,10315,1,2,3,4,4,12153,8306,8236,8406,8037,8336,2034,3064,4094,5124,8336,8434,8167,8063,8853,8732,8794,2415,3418,5518,4618
???? ????,,12201,,12202,,12201,,,12202,10171,,12203,12204,,12204,12205,,,7251,12161,12161,,12161,1,2,2,3,4,11301,11311,8262,8334,8432,8061,8165,2062,3092,4122,5032,8007,8105,8206,8235,8305,8405,8671,5412,2412,4510,2712
?????? ????,10002,12201,12201,12202,,12202,10171,,,12203,,12204,12205,,12205,12206,,7261,12206,12205,12206,,7016,10317,1,2,3,3,4,4,8435,8168,8064,8038,8136,3094,4124,5324,2064,8038,8435,8168,8064,8010,6245,8538,4320,5320,2620,3620
?????? ????,10003,12201,12201,10171,,12202,12203,10029,12204,12204,12205,12205,,12206,,12198,,7261,12198,7271,12198,,,10318,1,2,3,3,4,4,8169,8065,8011,8109,8309,3034,4064,5124,2094,8855,8733,8585,8826,8766,6247,8506,5625,3325,4524,2725
????????,12201,12201,10002,12201,,12201,12201,10030,12202,10171,12202,12203,,12203,,12204,,7251,12205,12205,,12205,12205,,,,1,2,3,4,8238,8009,8208,8136,8168,8064,8107,8208,8168,8064,4034,5064,2094,3124,6245,8064,8168,8435,8765,8583
???? ????????,12201,12201,10003,10171,12202,12202,12202,10031,12203,12203,,12204,,12205,,,,,7261,,12205,,7017,10314,,,1,2,3,4,8039,2094,8136,8337,8435,8010,8010,8108,8209,8238,5034,2064,3094,4625,6245,8010,8108,8209,8504,8535
?????? ????????,12201,12201,,12202,12203,12203,10173,10032,,12204,,12204,,12205,,12205,,12206,,7251,12205,12205,12206,10315,1,2,3,2,4,12156,2034,3064,4094,5124,8308,8408,8039,8137,8266,8338,8436,8169,8065,8238,8010,8536,2424,3427,4624,5524
???????????? ????,12201,10173,12202,10165,12163,12203,10155,12203,12163,12204,12381,10058,12206,12207,10058,12208,12381,7271,12209,10314,1,1,2,3,2,4,3,1,11351,12212,3034,4064,5094,2124,8066,8170,8437,8339,8267,8138,2035,3065,4095,5125,6247,8767,8508,8828,8796,8828
?????? ????,,12192,12191,10165,,12192,12191,10155,12191,10171,12191,12192,12192,12192,12191,12192,,12192,,7251,10425,12192,,7001,,1,3,2,2,4,4031,2121,8332,8033,8131,8033,8402,8033,8131,8332,2009,3009,4009,5009,9003,8005,8103,8204,2308,3606
?????? ??????,12191,12192,12178,12191,10171,12192,10155,,12191,12192,10165,12192,12192,12192,12191,12192,12191,12192,,7271,12192,12192,,,,1,3,2,2,4,8163,,8163,8302,8232,8131,8163,8332,8131,8033,2009,3009,4009,5009,9063,8233,8303,8403,4606,5606
?????? ????,12191,,10165,12191,,12192,10172,10155,12191,12192,12191,12192,12192,12192,12191,12192,12191,12192,7261,10425,12189,12192,,7004,,1,2,3,3,4,4032,5062,8131,8332,8163,8332,4032,5062,2092,3122,8005,8103,8204,8403,9063,8034,8132,8261,2311,3211
?????? ??????,12191,12192,12178,12191,10154,12192,12191,,12191,10171,12191,10163,12192,12192,12191,12192,12191,12192,,7251,12192,12192,,7003,,1,2,3,3,4,8261,8233,8004,8102,8163,8163,8403,8005,8163,8332,2009,3009,4009,5009,9003,8132,8261,8333,4211,5211
?????? ????,12191,,12191,10163,12178,10171,12191,,12191,12192,10153,12192,,12192,12191,12192,12191,12192,,7261,12192,12192,7005,,,1,3,2,2,4,8204,8261,8402,8332,8005,8005,2032,3062,4092,5122,8034,8132,8261,8333,9003,8431,8164,8303,8531,8501
???? ??????,12191,12187,12178,12191,,12187,12191,10171,12191,12187,12191,12187,,12187,12191,12187,12191,12187,7271,10426,12187,12187,,7006,,1,3,2,2,4,8006,8133,8132,8333,8164,8334,3032,4062,5092,2122,8006,8104,8205,8234,9004,8035,8133,8262,2320,3220
??????,,12187,12191,12191,,10171,12191,,12191,12187,12191,12187,,12187,12191,12187,12191,12187,7251,10426,12187,12187,12191,10307,,1,2,3,3,4,5062,3122,8234,8404,8304,8432,2013,3013,4013,5013,8304,8404,8035,8133,9064,8007,8105,8405,8641,8702
?????? ??????,12191,12187,,10163,,10154,12191,10171,12191,12187,12191,12187,,12187,12191,12187,12191,12187,,7271,12189,,10309,7007,,1,2,3,4,12163,8405,8061,8165,8334,8035,8061,2013,3013,4013,5013,8007,8105,8206,8235,9005,8036,8134,8263,8792,8502
?????? ??????,12191,12187,,12191,,12187,10154,,10164,12187,10171,12187,,12187,12191,12187,,12187,,7251,,12187,10301,7009,,1,2,3,3,4,8234,8262,8234,8205,8006,8165,2013,3013,4013,5013,8165,8061,8432,8334,9064,8061,8007,8206,4221,5221
???? ??????,12191,,12191,10171,,12187,12191,10154,12191,12187,12191,10165,,12187,12191,12187,,12187,,7261,12187,12187,10306,7008,,1,3,2,2,4,8234,8205,8262,8262,8334,8007,2013,3013,4013,5013,8007,8206,8305,8263,9065,8206,8105,8007,8532,8762
Worm Dragon,,,10173,,12163,12381,12200,12163,12200,12200,12163,12200,10058,12200,10058,12200,12197,12200,12197,12381,12155,9205,1,3,2,2,4,3,11341,12221,8584,8766,8506,8169,8826,5065,2095,3125,4035,8536,2527,5427,4327,3627,6228,8734,8585,8538,8768,8507
???? ????,12191,,12191,10171,,12192,10171,,12191,12196,12191,12196,,12196,12191,12196,,12198,,,12198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??????,,12178,12178,,12178,10171,12161,10021,,12178,12178,,12381,12161,12178,,12178,12161,12178,,12178,12178,12161,10307,1,2,3,3,,12161,8031,8003,8101,8202,8231,8201,2010,3010,4010,5010,8301,8401,8032,8331,8162,,,,,
?????? ????,12185,10171,12185,10163,12187,12185,,10022,12161,,,12161,,12187,12185,12161,,12187,12185,12187,12185,12185,12187,10308,1,1,2,3,4,12162,2031,4121,8331,8301,8401,8401,2007,3007,4007,5007,8003,8202,8301,8331,9002,8331,8162,8004,8331,8202
???? ??,,12191,12187,,12191,12187,12187,10023,,12191,12187,,12187,12161,12191,12187,12161,12191,12187,12191,12187,,1,2,3,2,4,4,,12163,8004,8203,8302,8033,8332,8402,8162,8232,8004,8163,2031,4121,5061,4061,8163,2406,3503,4603,3210,4210
???? ??????,12187,,12188,,,10163,10153,10024,12187,12162,12188,12187,12188,12187,12162,12188,12187,12162,12188,,10307,,,,1,2,2,3,4,12164,8304,8262,8164,2062,3092,8304,2032,3062,4092,5122,8432,8334,8262,8133,9004,8531,8761,8501,8671,8701
?????? ??,12191,12192,,10173,12191,12192,12162,10025,12191,12192,12162,12191,12162,10058,12192,10058,12191,12192,12191,10308,1,1,2,3,2,4,3,4,,12163,8103,8132,8164,8431,8164,2610,3122,4032,5413,8164,8104,8205,8006,8234,8304,8641,2411,3611,5613,4311
?????? ????,,12176,12163,12176,12163,12176,12176,10026,12163,10153,12163,12176,12176,10058,12176,12163,12176,10058,12176,,1,1,2,3,2,4,3,4,,11311,8206,8035,8134,8263,8433,3320,3063,4093,5123,8335,8793,8672,8581,8642,6223,2518,3223,4318,5317,12155
?????? ??,12191,12186,12161,12191,10153,10173,12191,12186,12161,10173,12191,12186,12191,12186,10058,12191,10058,12161,12161,,1,1,2,3,3,4,4,12152,12211,11301,8263,8207,8236,8208,8406,2717,3033,4418,5093,8135,8614,8673,8704,8534,8731,5619,3519,4419,2416,12154
????????,,12172,,10171,,12172,,10165,,10153,,12172,,12172,12381,12172,,12172,,12172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????? ????,12187,12162,12188,12187,12162,12188,10165,12187,10173,12187,12162,12188,10058,12188,12187,10058,12188,12381,12162,1,1,2,2,3,3,4,4,4,12221,11321,8038,8435,8009,8136,8265,2064,4124,5094,3034,8765,8854,8504,8795,8824,8854,8535,8765,8583,2624,3624
?????? ??,12187,12162,12187,10173,12187,12162,12381,10173,12162,10165,12187,12162,10058,12187,10058,12187,12162,12187,12162,1,1,2,2,3,3,4,4,4,12211,11331,8407,8307,8107,8010,8108,4324,5064,2094,3124,8583,8821,8615,8644,8505,8563,8825,2424,3324,4324,5524
?????? ??(??????),,,,8794,8764,8704,8615,8534,8503,8643,8983,8967,8991,8975,8927,8920,8909,8940,8952,8823,8853,8732,8643,8794,8764,8704,8615,,,,,,,,,,,,,,,,,,,,,,,
?????? ??(??????),,,,8644,8504,8675,8705,8535,8583,8705,8615,8909,8927,8933,8941,8960,8991,8953,8901,8920,8644,8765,8795,8825,8854,8765,8733,,,,,,,,,,,,,,,,,,,,,,,
???????????? ????(??????),,,,8827,8768,8676,8585,8796,8537,8564,8984,8976,8961,8968,8902,8910,8921,8928,8942,8856,8706,8734,8507,8537,8827,8856,8706,,,,,,,,,,,,,,,,,,,,,,,
mummies,12191,12192,12191,12192,12191,12192,12071,12072,12073,12074,12075,12076,12077,12111,10056,12117,12117,12117,12111,10057,,,,,10058,12117,12161,12162,12163,12164,,,,,,,,,,,,,,,,,,,,
lich,,12381,12381,8539,8648,8798,8707,8736,8676,11321,11331,11341,12198,12199,12117,12117,12117,12117,11341,11331,10314,10316,10319,10058,11321,11371,12155,12212,12212,12212,,,,,,,,,,,,,,,,,,,,
Enormous Beetle,12176,12178,12176,10171,6019,10161,12176,6019,12176,12172,10151,12172,12381,12172,5406,12172,12176,12172,12172,10410,3305,10410,12172,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander Rackie,12185,3512,12185,10171,2412,12187,12185,10161,8531,12187,12185,10151,12185,12187,94,12187,12185,6034,12187,2613,10413,12188,10413,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebellion Clown,12191,,12191,10171,,12187,12191,10154,12191,12187,12191,10165,2189,12187,12191,12187,,12187,,7261,12187,12187,10306,7008,,,,,,,,,,,,,,,,,,,,,,,,,,
Xita Hornets,,,,,,10384,,,,,,,,,,,,10384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Enforcer,12191,12191,12086,12191,12191,12088,12087,12087,12192,12154,12152,12151,12281,12281,12281,12281,12066,12067,12068,12244,12069,12085,12085,12086,12087,12244,12087,12088,12244,12244,,,,,,,,,,,,,,,,,,,,
Outsider Messenger,12192,12192,12086,12192,12192,12098,12098,12155,12155,12156,12156,12155,12069,12067,12066,12067,12068,12068,12069,12086,12087,12088,12095,12244,12244,12050,12244,12088,12244,12244,,,,,,,,,,,,,,,,,,,,
Outsider Messenger (Unique),12192,12192,12086,12192,12192,12098,12098,12155,12155,12156,12156,12155,12069,12067,12066,12067,12068,12068,12069,12086,12087,12088,12095,12244,12244,12050,12244,12088,12244,8963,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??????,12188,12187,,10171,,10164,12188,10001,12188,12187,10153,12187,12187,12187,12188,12187,,12187,7251,,12187,12188,7081,,,1,3,2,2,4,8261,8006,8133,8262,8334,8432,2013,4013,5013,3013,8334,8432,8061,8165,9004,2013,3013,4013,5013,8641
????????,12186,12186,12188,12188,10163,12186,12188,10002,12188,10171,12188,12186,12186,10154,12188,12186,12197,12186,12197,7261,12186,12188,,7082,,1,2,3,3,4,2033,3123,8165,8061,8404,8035,2013,4013,5013,3013,8007,8105,8206,8235,9005,8335,2033,3063,4093,5123
???? ????????,12186,12186,12188,10154,,10172,12188,10003,12188,12186,12188,10164,12188,12186,12188,12186,12198,12199,7271,12198,12199,12188,7083,,,1,2,3,3,4,3063,2093,8062,8335,8134,8405,2033,3063,4093,5123,8008,8207,8037,8135,6223,8037,2416,3416,4516,5616
????????,,12201,12201,12201,10171,,12201,10004,10163,12202,12202,10153,12202,12203,12204,12204,,7271,,,,12204,,7084,,1,3,2,2,4,8007,8061,8432,8262,8035,8133,2032,3062,4092,5122,8334,8432,8061,8165,9064,2013,3013,4013,5013,8581
????????,12201,12201,,10154,9046,12201,10171,10005,12202,12202,10163,12203,,12204,12204,12204,,12205,7251,,,12204,,12204,,1,2,3,3,4,8166,4093,8061,8165,8262,8133,2013,3013,4013,5013,8007,8105,8206,8405,9065,8433,8335,8134,8533,8762
?????? ????,12192,12192,12191,10171,,12192,12191,10006,10154,12192,12191,10163,,12192,12191,12192,,12192,7261,10428,12192,12191,12192,,,1,2,3,3,4,8234,3063,8133,8334,8006,8104,2013,4013,5013,3013,8036,8263,8433,8432,9005,8166,2413,3510,4613,5222
???? ??????????,12020,12192,12191,12191,12061,10171,12191,12025,12191,10153,12191,12192,12026,10163,12191,12192,7271,12192,12134,12381,12192,12191,12192,12161,12381,1,2,3,3,4,2095,8209,8307,8239,8765,8109,2016,12078,12079,12080,8340,8438,8170,8066,9068,8066,8239,8409,8766,8642
Pumpkin Ghost,12192,12025,12191,12191,10153,12192,10172,12062,12191,12192,10163,12192,12191,12381,12191,12192,7261,12192,7271,12026,12192,12191,8001271,8001270,12020,1,2,3,4,12381,5095,2126,8110,8211,8239,8309,3036,4440,5095,2126,8439,8170,8066,8041,9009,8067,3065,4036,5095,2126
?????? ????,12192,12192,12020,10163,,12192,12191,,12191,10171,10153,12192,12191,12192,12191,12192,12026,12192,12063,7251,12192,12191,12192,12191,12025,1,2,3,3,4,2095,3126,8307,8209,8409,8011,2095,,,,8171,8437,8339,8138,6247,8339,8268,8171,8766,8539
Evil Jack,12192,12020,12191,12191,12191,10172,12191,12025,10153,12192,10163,12192,12191,12192,12191,12192,7251,8001274,12189,12191,12189,12191,12026,11332,11302,1,2,3,3,4,8210,8270,8068,8171,8440,8140,4036,5066,2096,3126,8111,8015,8068,8171,9071,8240,8112,8015,8678,8567
?????? ????,,12191,12191,12191,12191,10163,12191,,12191,10171,12191,10153,12191,12192,12191,12192,,12192,7251,10429,12192,12191,12191,,12164,12161,1,2,3,4,8015,8110,8068,8170,8438,8269,5036,2066,3096,4639,8041,8340,8068,8171,9011,2037,3066,4096,5126,8615
Pomic Ghost,,12192,,12191,12191,12192,12191,,10171,12192,12191,12192,,8001272,8001273,12192,7261,12192,,10429,12192,12191,,,,1,3,2,2,4,8109,8436,8169,8436,8338,8266,3034,4064,5094,2124,8011,8109,8210,8239,6247,8210,2426,3426,4526,5626
?????? ??????,12192,,12191,12191,12191,10171,12191,,12191,12192,10165,12192,11352,10155,12191,12192,11332,12192,12155,10430,12192,12191,7161,12164,12161,12161,1,2,3,4,2640,3634,4339,5440,2638,2638,,,,,,,,,,,,,,
Antares,12191,,10172,12191,12191,12192,12191,,10155,12192,12191,12192,,10165,12191,12192,12199,8001275,7271,10430,12189,12199,7159,,,1,3,2,2,4,8015,2066,8171,8440,8340,8269,2036,3036,4036,5036,8240,8211,8410,8041,9012,8170,2731,3634,4533,5441
???? ??????????,12025,12192,12192,10165,12026,12192,10171,12020,12191,10155,12191,12192,12192,12192,12191,12199,7261,12192,12199,10429,12192,12191,7160,,,1,3,2,2,4,2036,3066,8170,8068,8139,8410,2036,3036,4036,5339,8340,8438,8171,8041,9070,8013,8210,8240,8676,8585
Giant Antares,12192,12192,12191,12191,10155,12192,10165,12020,12191,10171,12191,12192,12192,12192,12191,12199,11322,12192,12199,7251,12192,12191,7161,8001367,8001368,1,3,2,2,4,8269,2069,8016,8112,8211,8311,2036,3066,4096,5126,8171,8438,8340,8268,9069,2036,3066,4096,5126,8707
Poison Master,12189,12191,12189,12191,12189,12192,12191,10172,12191,12192,10165,12192,12192,12192,12191,12192,7251,12192,,10155,12189,12191,7162,9210,1195,1,2,3,4,12153,3339,2539,4638,5541,3539,,,,,,,,,,,,,,,
???? ????????????,12192,12192,12191,10155,12020,10171,12191,12025,12191,10165,12191,12192,12192,12192,12191,12199,12026,12192,12199,7251,12192,12191,7163,,,1,3,2,2,4,2096,3126,8339,8138,8308,8109,3036,4066,5096,2126,8339,8437,8068,8014,9069,8308,8138,8437,8616,8765
